"a5","a2","a4","a6","a1","a3","a7"
"","","","MYLIP","","SNRPA1","PSMA3"
"","","","RNF144B","","TOR4A","HIF1A"
"","","","MBOAT1","","HSF1","PTPRD"
"","","","SCGN","","SDC2","PLPP6"
"","","","ZNF322","","DECR1","SMC5"
"","","","ZNF184","","ATP6V0D2","TRPM6"
"","","","GPX6","","SEC31B","RUSC2"
"","","","POLR1H","","LACTB2","MELK"
"","","","PPP1R10","","PDE7A","NANS"
"","","","TUBB","","SDCBP","ANKS6"
"","","","DDR1","","PENK","GALNT12"
"","","","C6orf15","","PRKDC","DNAJC25"
"","","","TCF19","","CD84","MEGF9"
"","","","SLC44A4","","CD1E","MRRF"
"","","","EGFL8","","NAXE","NR6A1"
"","","","AGPAT1","","GLMP","PTRH1"
"","","","NOTCH4","","HAX1","FPGS"
"","","","PSMB9","","CRTC2","HDHD2"
"","","","FAM83B","","PGLYRP4","DIPK1B"
"","","","LRRC1","","SEMA6C","CCN4"
"","","","GCLC","","BCL9","TMEM71"
"","","","DST","","CD2","ATAD2"
"","","","KIFC1","","CASQ2","CTHRC1"
"","","","ITPR3","","MOV10","LAPTM4B"
"","","","SCUBE3","","FAM102B","ZBTB10"
"","","","TEAD3","","PRMT6","HEY1"
"","","","FKBP5","","DPYD","IL7"
"","","","MAPK14","","ABCA4","ZC2HC1A"
"","","","BNIP5","","KYAT3","STAU2"
"","","","CDKN1A","","TASP1","ADHFE1"
"","","","MTCH1","","IDH3B","OPRK1"
"","","","DAAM2","","ANGPT4","ADAMTS4"
"","","","MOCS1","","SOGA1","ARHGAP30"
"","","","MDFI","","CHD6","TAGLN2"
"","","","FRS3","","CTSA","FCRL1"
"","","","CNPY3","","PTPN1","LRRC71"
"","","","MEA1","","FAM210B","IQGAP3"
"","","","KLC4","","SUN1","LMNA"
"","","","DLK2","","ZFAND2A","THBS3"
"","","","VEGFA","","ZNF789","FLAD1"
"","","","SLC29A1","","ZCWPW1","TDRD10"
"","","","RUNX2","","COL26A1","TUFT1"
"","","","ENPP5","","RCC1L","SELENBP1"
"","","","RCAN2","","PSPH","TNFAIP8L2"
"","","","PLA2G7","","CTF1","BOLA1"
"","","","ADGRF1","","CCDC189","PTGFRN"
"","","","TNFRSF21","","KATNIP","VANGL1"
"","","","CRISP2","","DCUN1D3","DCLRE1B"
"","","","CHRNA3","","UBN1","MAGI3"
"","","","ACSBG1","","SRL","CAPZA1"
"","","","ADAMTS7","","DECR2","CHI3L2"
"","","","RASGRF1","","MRPS34","ODF2L"
"","","","CFAP161","","ABCA3","SLC20A2"
"","","","STARD5","","TEDC2","CD93"
"","","","TMC3","","IL18RAP","PCED1A"
"","","","SH3GL3","","MAP4K4","EBF4"
"","","","BNC1","","GNLY","NOL4L"
"","","","TM6SF1","","RETSAT","GGT7"
"","","","HOMER2","","ACTG2","MYH7B"
"","","","IQGAP1","","EXOC6B","KCNS1"
"","","","MAN2A2","","CEP68","SNX21"
"","","","CFAP100","","BCL11A","ZSWIM1"
"","","","ACAN","","CFAP36","SULF2"
"","","","MFGE8","","NDUFAF7","B4GALT5"
"","","","ABHD2","","DPY30","NFATC2"
"","","","RHCG","","SUPT7L","DNAAF5"
"","","","PLIN1","","HADHB","GNB2"
"","","","WDR93","","GAREM2","SH2B2"
"","","","ETFA","","OSR1","TMEM248"
"","","","PSTPIP1","","NSD2","GUSB"
"","","","CSPG4","","ATP10D","TMC7"
"","","","SNX33","","SCFD2","SEC14L5"
"","","","SNUPN","","GUCY1B1","PAM16"
"","","","PTPN9","","CDKL2","SLX4"
"","","","CYP1A1","","CXCL11","CHTF18"
"","","","STRA6","","ARHGAP10","TELO2"
"","","","PML","","MMAA","BARX1"
"","","","STOML1","","IL15","NCAPH"
"","","","CD276","","LEF1","SLC9A4"
"","","","TTC6","","TET2","DOK1"
"","","","PAX9","","SNCA","DGUOK"
"","","","NUBPL","","GPAT3","CCT7"
"","","","PRKD1","","MIPEP","ARHGAP25"
"","","","NFATC4","","MRPS31","PLEK"
"","","","PSME2","","TRIM13","AHSA2"
"","","","PCK2","","LRCH1","CCDC88A"
"","","","JPH4","","DGKD","SLC3A1"
"","","","THTPA","","ELF1","EML4"
"","","","SLC22A17","","UCHL3","MEMO1"
"","","","EFS","","ABHD13","GALNT14"
"","","","SLC7A8","","C13orf46","EMILIN1"
"","","","C14orf119","","GFRA2","NCOA1"
"","","","CDH24","","FHIP2B","BEND4"
"","","","SLC7A7","","ADAM7","TEC"
"","","","ABHD4","","RILPL1","KDR"
"","","","OSGEP","","HCAR1","RASSF6"
"","","","NR2F2","","TCTN1","MTHFD2L"
"","","","MCTP2","","ERP29","CCDC158"
"","","","FAM174B","","OASL","TMEM154"
"","","","RGMA","","RHBDD3","SMAD1"
"","","","MTHFD1","","ADORA2A","C4orf33"
"","","","PLEKHG3","","GNB1L","AP1AR"
"","","","SPTB","","ARV1","ABCG2"
"","","","GPX2","","TET1","ABRAXAS1"
"","","","RAB15","","PCBD1","THAP9"
"","","","PLEK2","","MAPK8","SPATA13"
"","","","PLEKHH1","","NCOA4","ALOX5AP"
"","","","GALNT16","","LIPA","TRPC4"
"","","","ERH","","PPP1R3C","RCBTB2"
"","","","PLEKHD1","","LGI1","CCDC122"
"","","","PCNX1","","SCD","AKAP11"
"","","","ACOT4","","NFKB2","RGCC"
"","","","ENTPD5","","ITPRIP","DIAPH3"
"","","","TMEM63C","","PRDX3","MYCBP2"
"","","","AHSA1","","STK32C","SLAIN1"
"","","","ADCK1","","LYPLAL1","MBNL2"
"","","","KCNK13","","EPRS1","EFNB2"
"","","","TC2N","","COQ8A","COL4A2"
"","","","SLC24A4","","AKT3","RNF17"
