"a5","a2","a4","a6","a1","a3","a7"
"","","","OLFML2A","","RAB7B","TSPAN10"
"","","","SCAI","","LGALS3BP","MFF"
"","","","PBX3","","SLC8A1","C4orf3"
"","","","GARNL3","","TPGS1","MRPS12"
"","","","ST6GALNAC6","","TNFSF8","TIMP3"
"","","","AK1","","ERG28","RNH1"
"","","","ST6GALNAC4","","PLA2G2F","MPV17L"
"","","","FAM102A","","PPT1","ZNF35"
"","","","SLC25A25","","ZNF658","SH2D1B"
"","","","DNM1","","RASL10B","LRRC31"
"","","","SLC27A4","","OSBPL2","TLE5"
"","","","SH3GLB2","","GTPBP8","MOB3A"
"","","","PRRX2","","POU2F2","KLHL11"
"","","","FNBP1","","CDKN1B","NUDT16"
"","","","HMCN2","","COMTD1","KIAA0895L"
"","","","ASS1","","AMMECR1","WFS1"
"","","","ABL1","","ARID3A","RTTN"
"","","","LAMC3","","BFAR","DDX41"
"","","","SETX","","NR3C2","TRAF4"
"","","","SARDH","","NDUFA5","BORCS5"
"","","","VAV2","","ZNF688","KCTD16"
"","","","PPP1R26","","DUSP6","CDCA8"
"","","","HSBP1L1","","PPP1R14B","C12orf73"
"","","","EGFL7","","RASL12","TIMP4"
"","","","NRARP","","CLPP","GEMIN7"
"","","","EXD3","","IRF2BP2","FLNA"
"","","","C8orf82","","TRAM2","TMEM186"
"","","","GPT","","PFDN1","BST2"
"","","","SLC39A4","","MOB3B","BAG2"
"","","","OPLAH","","TM2D1","SREBF1"
"","","","SLC45A4","","TOM1","ERI1"
"","","","AGO2","","CRTAP","RDH10"
"","","","LRATD2","","WTIP","PRKCB"
"","","","SQLE","","DAPP1","FAM111A"
"","","","MTSS1","","EMC10","LAX1"
"","","","FBXO32","","GPSM1","PELI2"
"","","","SHAS2","","NIF3L1","CCDC8"
"","","","MRPL13","","HMOX1","ZNF280B"
"","","","ENPP2","","STXBP5L","DYNC2H1"
"","","","MAL2","","RASL11A","SAMD10"
"","","","ANGPT1","","KCNJ2","HES2"
"","","","OXR1","","ZNF8","ZNF304"
"","","","DCSTAMP","","TNFRSF13B","OBSCN"
"","","","FZD6","","TTC29","IFI6"
"","","","BAALC","","ZFHX2","ABI2"
"","","","NCALD","","EEF1A2","CCL14"
"","","","GRHL2","","CCDC69","HSCB"
"","","","OSR2","","TMEM241","PET100"
"","","","CPQ","","KIF9","SH3BGRL3"
"","","","PTDSS1","","DNAI7","LRRTM2"
"","","","NDUFAF6","","COL9A3","CCDC106"
"","","","INTS8","","TRAPPC3L","KLF5"
"","","","ESRP1","","PYCARD","HSD17B1"
"","","","GEM","","NACC2","ZNF268"
"","","","PDP1","","SMIM33","TEF"
"","","","SLC26A7","","NRG4","ANP32E"
"","","","CPNE3","","COL19A1","GCC1"
"","","","RMDN1","","SMIM9","ZNF550"
"","","","SNX16","","ATP5MG","YPEL2"
"","","","NDUFB8","","CDC20B","XXYLT1"
"","","","PEX2","","","PGAP2"
"","","","ZFHX4","","","YIPF4"
"","","","CRISPLD1","","","PEG10"
"","","","SULF1","","","RRAD"
"","","","CA8","","","MORC4"
"","","","CYP7A1","","","FAT4"
"","","","UBXN2B","","","ACKR1"
"","","","FAM110B","","","SMIM1"
"","","","LYPLA1","","","FAM126B"
"","","","ST18","","","FZD1"
"","","","MCM4","","","PMP2"
"","","","GORAB","","","REEP3"
"","","","SELL","","","PGP"
"","","","SELP","","","TCEA2"
"","","","F5","","","C9orf116"
"","","","ATP1B1","","","NR1D1"
"","","","GPR161","","","SERTAD2"
"","","","MPC2","","","U4"
"","","","MPZL1","","","ASMTL"
"","","","GPA33","","","SNX22"
"","","","MGST3","","","SPTBN4"
"","","","PBX1","","","CPLX1"
"","","","HSD17B7","","","FKBP14"
"","","","DDR2","","","PSMB3"
"","","","NOS1AP","","","ZBTB39"
"","","","OLFML2B","","","KAZN"
"","","","F11R","","","TRIQK"
"","","","CD244","","","COX7A1"
"","","","LY9","","","NIT1"
"","","","SLAMF7","","","ZC3H12A"
"","","","SLAMF1","","","PMP22"
"","","","VANGL2","","","TMEM138"
"","","","ATP1A4","","","ZNF891"
"","","","IGSF8","","","CORO1A"
"","","","IGSF9","","","MGAT3"
"","","","SLAMF8","","","TFEC"
"","","","SLAMF9","","","CMTM3"
"","","","KIRREL1","","","DNAJC15"
"","","","FCRL3","","","RNF182"
"","","","PEAR1","","","FOXF1"
"","","","NTRK1","","","BHLHA15"
"","","","MRPL24","","","FGF12"
"","","","CRABP2","","","RFLNB"
"","","","TMEM79","","","TCFL5"
"","","","LAMTOR2","","","GDNF"
"","","","EFNA1","","","SNAP23"
"","","","EFNA3","","","DMWD"
"","","","ATP8B2","","","MBP"
"","","","TPM3","","","IKBIP"
"","","","INTS3","","","SMIM5"
"","","","S100A2","","","TRIM8"
"","","","S100A8","","","LSM10"
"","","","CRNN","","","ZNF649"
"","","","S100A11","","","NALCN"
"","","","S100A10","","","TUBB6"
"","","","SNX27","","","ZNF397"
"","","","CGN","","","ADIPOQ"
"","","","TMOD4","","","PDXDC1"
"","","","FCGR1A","","","TREM2"
"","","","ACP6","","","MTPN"
"","","","NOTCH2","","","SERPINH1"
"","","","PHGDH","","","COX20"
"","","","TENT5C","","","DERL3"
"","","","VTCN1","","","MIPOL1"
"","","","IGSF3","","","SLC6A11"
"","","","ATP1A1","","","ZNF446"
"","","","MAB21L3","","","CD34"
"","","","TSPAN2","","","LSMEM1"
"","","","DENND2C","","","MZT1"
"","","","PPM1J","","","B3GNT9"
"","","","ADORA3","","","RSPH1"
"","","","KCNA3","","","TICRR"
"","","","SLC6A17","","","GPR19"
"","","","ALX3","","","EXOC3L2"
"","","","GSTM3","","","BIRC5"
"","","","ATXN7L2","","","PDLIM7"
"","","","PSMA5","","","C19orf54"
"","","","ELAPOR1","","","SERTM1"
"","","","COL11A1","","","MAF"
"","","","EXTL2","","","TMEM140"
"","","","CDC14A","","","DDAH1"
"","","","DBT","","","GPR52"
"","","","PLPPR4","","","NOL7"
"","","","CNN3","","","RTN4RL2"
"","","","SLC44A3","","","KCNJ11"
"","","","ARHGAP29","","","SERGEF"
"","","","BCAR3","","","CCL11"
"","","","FNBP1L","","","DNAH6"
"","","","EVI5","","","CENPW"
"","","","LRRC8C","","","GNG10"
"","","","GBP2","","","DSCC1"
"","","","PKN2","","","MRPS16"
"","","","CLCA1","","",""
"","","","CLCA2","","",""
"","","","CCN1","","",""
"","","","DNAI3","","",""
"","","","GSDMD","","",""
"","","","TRMT9B","","",""
"","","","MICU3","","",""
"","","","ZDHHC2","","",""
"","","","FAT1","","",""
"","","","IDO1","","",""
"","","","VDAC3","","",""
"","","","PLAT","","",""
"","","","AP3M2","","",""
"","","","GPCPD1","","",""
"","","","PLCB1","","",""
"","","","PLCB4","","",""
"","","","JAG1","","",""
"","","","SPTLC3","","",""
"","","","NDUFAF5","","",""
"","","","FLRT3","","",""
"","","","DSTN","","",""
"","","","DTD1","","",""
"","","","SLC24A3","","",""
"","","","PAX1","","",""
"","","","FOXA2","","",""
"","","","ACSS1","","",""
"","","","SMOX","","",""
"","","","SLC4A11","","",""
"","","","LZTS3","","",""
"","","","MRPS26","","",""
"","","","SIRPB1L","","",""
"","","","SIRPB2","","",""
"","","","NSFL1C","","",""
"","","","SDCBP2","","",""
"","","","SLC52A3","","",""
"","","","FAM110A","","",""
"","","","RBCK1","","",""
"","","","C20orf96","","",""
"","","","TPX2","","",""
"","","","CCM2L","","",""
"","","","HCK","","",""
"","","","DNMT3B","","",""
"","","","BPIFA1","","",""
"","","","BPIFB1","","",""
"","","","BPIFB5","","",""
"","","","E2F1","","",""
"","","","MAP1LC3A","","",""
"","","","ADIG","","",""
"","","","DHX35","","",""
"","","","MYBL2","","",""
"","","","UBE2C","","",""
"","","","ACOT8","","",""
"","","","PLTP","","",""
"","","","MMP9","","",""
"","","","SLC12A5","","",""
"","","","CDH22","","",""
"","","","OCSTAMP","","",""
"","","","TP53RK","","",""
"","","","EYA2","","",""
"","","","RIPOR3","","",""
"","","","BCAS4","","",""
"","","","ATP9A","","",""
"","","","ZNF217","","",""
"","","","BCAS1","","",""
"","","","CYP24A1","","",""
"","","","CASS4","","",""
"","","","RTF2","","",""
"","","","TFAP2C","","",""
"","","","BMP7","","",""
"","","","RBM38","","",""
"","","","CTCFL","","",""
"","","","PCK1","","",""
"","","","RAB22A","","",""
"","","","RBBP8NL","","",""
"","","","CABLES2","","",""
"","","","PDGFA","","",""
"","","","ADAP1","","",""
"","","","TMEM184A","","",""
"","","","SDK1","","",""
"","","","ACTB","","",""
"","","","FSCN1","","",""
"","","","LMTK2","","",""
"","","","BAIAP2L1","","",""
"","","","NPTX2","","",""
"","","","AGFG2","","",""
"","","","EPHB4","","",""
"","","","HIP1","","",""
"","","","METTL27","","",""
"","","","CLDN4","","",""
"","","","GTF2IRD1","","",""
"","","","MRPS17","","",""
"","","","ZNF629","","",""
"","","","ITGAL","","",""
"","","","TUFM","","",""
"","","","SPNS1","","",""
"","","","GTF3C1","","",""
"","","","IL21R","","",""
"","","","IL4R","","",""
"","","","SCNN1G","","",""
"","","","EEF2K","","",""
"","","","GP2","","",""
"","","","GPRC5B","","",""
"","","","TMC5","","",""
"","","","XYLT1","","",""
"","","","ABCC1","","",""
"","","","PARN","","",""
"","","","ABAT","","",""
"","","","PPL","","",""
"","","","ROGDI","","",""
"","","","ANKS3","","",""
"","","","ZNF263","","",""
"","","","RHBDF1","","",""
"","","","MCRIP2","","",""
"","","","JPT2","","",""
"","","","CRAMP1","","",""
"","","","BAIAP3","","",""
"","","","NTHL1","","",""
"","","","BRICD5","","",""
"","","","PRSS27","","",""
"","","","ZNF484","","",""
"","","","CHCHD5","","",""
"","","","NPHP1","","",""
"","","","MRPS5","","",""
"","","","MAL","","",""
"","","","PROM2","","",""
"","","","CCDC138","","",""
"","","","FHL2","","",""
"","","","IL1R1","","",""
"","","","NPAS2","","",""
"","","","CHST10","","",""
"","","","MRPL30","","",""
"","","","CRACDL","","",""
"","","","MGAT4A","","",""
"","","","SEMA4C","","",""
"","","","CNNM4","","",""
"","","","ST3GAL5","","",""
"","","","SFTPB","","",""
"","","","CAPG","","",""
"","","","TMSB10","","",""
"","","","SUCLG1","","",""
"","","","HK2","","",""
"","","","SEMA4F","","",""
"","","","RTKN","","",""
"","","","MTHFD2","","",""
"","","","SFXN5","","",""
"","","","CYP26B1","","",""
"","","","ATP6V1B1","","",""
"","","","MXD1","","",""
"","","","ANXA4","","",""
"","","","CNRIP1","","",""
"","","","SPRED2","","",""
"","","","UGP2","","",""
"","","","EHBP1","","",""
"","","","REL","","",""
"","","","MSH2","","",""
"","","","PRKCE","","",""
"","","","SRBD1","","",""
"","","","SIX2","","",""
"","","","LRPPRC","","",""
"","","","MTA3","","",""
"","","","MAP4K3","","",""
"","","","GALM","","",""
"","","","RMDN2","","",""
"","","","QPCT","","",""
"","","","CRIM1","","",""
"","","","RASGRP3","","",""
"","","","TTC27","","",""
"","","","XDH","","",""
"","","","GPN1","","",""
"","","","SLC35F6","","",""
"","","","ADGRF3","","",""
"","","","HADHA","","",""
"","","","RAB10","","",""
"","","","KIF3C","","",""
"","","","KLHL29","","",""
"","","","SDC1","","",""
"","","","CYRIA","","",""
"","","","LPIN1","","",""
"","","","ATP6V1C2","","",""
"","","","ASAP2","","",""
"","","","RNF144A","","",""
"","","","LRATD1","","",""
"","","","RBAK","","",""
"","","","TNIP2","","",""
"","","","GRK4","","",""
"","","","PPP2R2C","","",""
"","","","MSX1","","",""
"","","","CC2D2A","","",""
"","","","FGFBP1","","",""
"","","","PROM1","","",""
"","","","SLC34A2","","",""
"","","","STIM2","","",""
"","","","C4orf19","","",""
"","","","FAM114A1","","",""
"","","","RHOH","","",""
"","","","ATP8A1","","",""
"","","","OCIAD2","","",""
"","","","DCUN1D4","","",""
"","","","LRRC66","","",""
"","","","RASL11B","","",""
"","","","LNX1","","",""
"","","","KIT","","",""
"","","","MSMO1","","",""
"","","","GASK1B","","",""
"","","","ETFDH","","",""
"","","","PPID","","",""
"","","","NPY1R","","",""
"","","","PAICS","","",""
"","","","IGFBP7","","",""
"","","","EPHA5","","",""
"","","","TMPRSS11D","","",""
"","","","TMPRSS11A","","",""
"","","","TMPRSS11F","","",""
"","","","AMCF-II","","",""
"","","","AREG","","",""
"","","","PPEF2","","",""
"","","","NAAA","","",""
"","","","SCARB2","","",""
"","","","SOWAHB","","",""
"","","","SEPTIN11","","",""
"","","","FRAS1","","",""
"","","","SFRP2","","",""
"","","","FHDC1","","",""
"","","","GATB","","",""
"","","","EDNRA","","",""
"","","","GAB1","","",""
"","","","MAML3","","",""
"","","","MGARP","","",""
"","","","JADE1","","",""
"","","","PLK4","","",""
"","","","INTU","","",""
"","","","SPRY1","","",""
"","","","BBS7","","",""
"","","","ANXA5","","",""
"","","","TNIP3","","",""
"","","","PDE5A","","",""
"","","","SYNPO2","","",""
"","","","ARSJ","","",""
"","","","EGF","","",""
"","","","CFI","","",""
"","","","HADH","","",""
"","","","MANBA","","",""
"","","","ADH5","","",""
"","","","METAP1","","",""
"","","","PKD2","","",""
"","","","HSD17B11","","",""
"","","","KLHL8","","",""
"","","","MAPK10","","",""
"","","","ARHGAP24","","",""
"","","","WDFY3","","",""
"","","","NKX6-1","","",""
"","","","HELQ","","",""
"","","","HPSE","","",""
"","","","SCD5","","",""
"","","","ANTXR2","","",""
"","","","PAQR3","","",""
"","","","ODAM","","",""
"","","","CSN3","","",""
"","","","TNFRSF19","","",""
"","","","USP12","","",""
"","","","KATNAL1","","",""
"","","","HSPH1","","",""
"","","","MAB21L1","","",""
"","","","SMAD9","","",""
"","","","POSTN","","",""
"","","","CKAP2","","",""
"","","","NEK3","","",""
"","","","SPRYD7","","",""
"","","","EBPL","","",""
"","","","CAB39L","","",""
"","","","ESD","","",""
"","","","RUBCNL","","",""
"","","","LCP1","","",""
"","","","TSC22D1","","",""
"","","","TNFSF11","","",""
"","","","DGKH","","",""
"","","","PCDH17","","",""
"","","","KCTD12","","",""
"","","","SCEL","","",""
"","","","EDNRB","","",""
"","","","SPRY2","","",""
"","","","SLITRK6","","",""
"","","","GPC6","","",""
"","","","GPR180","","",""
"","","","CLDN10","","",""
"","","","GPR183","","",""
"","","","TEX30","","",""
"","","","TNFSF13B","","",""
"","","","ARHGEF7","","",""
"","","","GRTP1","","",""
"","","","GAS6","","",""
"","","","RASA3","","",""
"","","","SPTLC1","","",""
"","","","SLC18A1","","",""
"","","","DMTN","","",""
"","","","SFTPC","","",""
"","","","PHYHIP","","",""
"","","","PDLIM2","","",""
"","","","SORBS3","","",""
"","","","PEBP4","","",""
"","","","STC1","","",""
"","","","DOCK5","","",""
"","","","ADRA1A","","",""
"","","","CLU","","",""
"","","","PBK","","",""
"","","","FZD3","","",""
"","","","EXTL3","","",""
"","","","HMGB2","","",""
"","","","GALNT7","","",""
"","","","MFAP3L","","",""
"","","","SH3RF1","","",""
"","","","CBR4","","",""
"","","","P2RX2","","",""
"","","","ULK1","","",""
"","","","SCARB1","","",""
"","","","ABCB9","","",""
"","","","RHOF","","",""
"","","","TMEM120B","","",""
"","","","ANAPC5","","",""
"","","","P2RX7","","",""
"","","","ARPC3","","",""
"","","","HVCN1","","",""
"","","","CUX2","","",""
"","","","ACAD10","","",""
"","","","HSPB8","","",""
"","","","TAOK3","","",""
"","","","TESC","","",""
"","","","FBXW8","","",""
"","","","TBX3","","",""
"","","","RBM19","","",""
"","","","PLBD2","","",""
"","","","RASAL1","","",""
"","","","TPCN1","","",""
"","","","SLC8B1","","",""
"","","","COQ5","","",""
"","","","FAM222A","","",""
"","","","TRPV4","","",""
"","","","SSH1","","",""
"","","","TPST2","","",""
"","","","ZNRF3","","",""
"","","","KREMEN1","","",""
"","","","EMID1","","",""
"","","","MTMR3","","",""
"","","","OSM","","",""
"","","","SMTN","","",""
"","","","PIK3IP1","","",""
"","","","PATZ1","","",""
"","","","SLC5A1","","",""
"","","","RAB36","","",""
"","","","BCR","","",""
"","","","UPB1","","",""
"","","","CHCHD10","","",""
"","","","CDC45","","",""
"","","","ZDHHC8","","",""
"","","","MTR","","",""
"","","","LYST","","",""
"","","","KCNK1","","",""
"","","","MAP3K21","","",""
"","","","SIPA1L2","","",""
"","","","ABCB10","","",""
"","","","RET","","",""
"","","","CSGALNACT2","","",""
"","","","FAM13C","","",""
"","","","CCDC6","","",""
"","","","CDK1","","",""
"","","","EGR2","","",""
"","","","JMJD1C","","",""
"","","","STOX1","","",""
"","","","AIFM2","","",""
"","","","TYSND1","","",""
"","","","TBATA","","",""
"","","","UNC5B","","",""
"","","","SLC29A3","","",""
"","","","CDH23","","",""
"","","","MCU","","",""
"","","","ECD","","",""
"","","","ANXA7","","",""
"","","","USP54","","",""
"","","","PLAU","","",""
"","","","VCL","","",""
"","","","ZNF503","","",""
"","","","KCNMA1","","",""
"","","","ZMIZ1","","",""
"","","","PLAC9","","",""
"","","","SFTPA1","","",""
"","","","TSPAN14","","",""
"","","","SH2D4B","","",""
"","","","CDHR1","","",""
"","","","CCSER2","","",""
"","","","GLUD1","","",""
"","","","ARHGAP22","","",""
"","","","ALOX5","","",""
"","","","PRKG1","","",""
"","","","PAPSS2","","",""
"","","","ANKRD22","","",""
"","","","ACTA2","","",""
"","","","HTR7","","",""
"","","","KIF11","","",""
"","","","EXOC6","","",""
"","","","CYP26A1","","",""
"","","","CEP55","","",""
"","","","PDLIM1","","",""
"","","","SORBS1","","",""
"","","","ENTPD1","","",""
"","","","PIK3AP1","","",""
"","","","UBTD1","","",""
"","","","ZFYVE27","","",""
"","","","DNMBP","","",""
"","","","DPCD","","",""
"","","","PSD","","",""
"","","","CALHM2","","",""
"","","","NEURL1","","",""
"","","","SH3PXD2A","","",""
"","","","COL17A1","","",""
"","","","ADD3","","",""
"","","","ADRA2A","","",""
"","","","GPAM","","",""
"","","","TCF7L2","","",""
"","","","ABLIM1","","",""
"","","","GFRA1","","",""
"","","","SHTN1","","",""
"","","","GRK5","","",""
"","","","BAG3","","",""
"","","","INPP5F","","",""
"","","","MCMBP","","",""
"","","","FGFR2","","",""
"","","","HTRA1","","",""
"","","","ACADSB","","",""
"","","","LHPP","","",""
"","","","EDRF1","","",""
"","","","PTPRE","","",""
"","","","EBF3","","",""
"","","","ADAM8","","",""
"","","","FUOM","","",""
"","","","NDUFAB1","","",""
"","","","EARS2","","",""
"","","","GGA2","","",""
"","","","B3GALT2","","",""
"","","","ESRRG","","",""
"","","","TGFB2","","",""
"","","","MARK1","","",""
"","","","MTARC2","","",""
"","","","FAM177B","","",""
"","","","RGS7","","",""
"","","","TMEM63A","","",""
"","","","PYCR2","","",""
"","","","PSEN2","","",""
"","","","CDC42BPA","","",""
"","","","TLR5","","",""
"","","","TP53BP2","","",""
"","","","PTPRC","","",""
"","","","ZNF281","","",""
"","","","NAV1","","",""
"","","","ELF3","","",""
"","","","UBE2T","","",""
"","","","CYB5R1","","",""
"","","","NTRK2","","",""
"","","","SLC28A3","","",""
"","","","CNTFR","","",""
"","","","C9orf24","","",""
"","","","CHMP5","","",""
"","","","DNAJA1","","",""
"","","","NDUFB6","","",""
"","","","SVIL","","",""
"","","","ZEB1","","",""
"","","","ARHGAP12","","",""
"","","","CUBN","","",""
"","","","TMEM236","","",""
"","","","SLC39A12","","",""
"","","","ITGA8","","",""
"","","","FAM171A1","","",""
"","","","FRMD4A","","",""
"","","","MPP7","","",""
"","","","ARHGAP21","","",""
"","","","KIAA1217","","",""
"","","","OTUD1","","",""
"","","","NEBL","","",""
"","","","ITGB1","","",""
"","","","NRP1","","",""
"","","","PARD3","","",""
"","","","CCDC3","","",""
"","","","CAMK1D","","",""
"","","","ITIH5","","",""
"","","","PRKCQ","","",""
"","","","PFKFB3","","",""
"","","","DIP2C","","",""
"","","","CTSV","","",""
"","","","HACL1","","",""
"","","","GALNT15","","",""
"","","","RFTN1","","",""
"","","","TBC1D5","","",""
"","","","SATB1","","",""
"","","","ITGA9","","",""
"","","","VILL","","",""
"","","","ACAA1","","",""
"","","","ZNF619","","",""
"","","","ANO10","","",""
"","","","CDCP1","","",""
"","","","KIF15","","",""
"","","","LIMD1","","",""
"","","","PLXNB1","","",""
"","","","COL7A1","","",""
"","","","UQCRC1","","",""
"","","","CELSR3","","",""
"","","","APEH","","",""
"","","","RNF123","","",""
"","","","SEMA3F","","",""
"","","","HYAL1","","",""
"","","","CYB561D2","","",""
"","","","TLR9","","",""
"","","","NT5DC2","","",""
"","","","ITIH3","","",""
"","","","CACNA1D","","",""
"","","","IL17RD","","",""
"","","","FLNB","","",""
"","","","PTPRG","","",""
"","","","PRICKLE2","","",""
"","","","MAGI1","","",""
"","","","LRIG1","","",""
"","","","KBTBD8","","",""
"","","","EOGT","","",""
"","","","MITF","","",""
"","","","EIF4E3","","",""
"","","","CHL1","","",""
"","","","CAMK1","","",""
"","","","RPUSD3","","",""
"","","","CIDEC","","",""
"","","","IRAK2","","",""
"","","","ATG7","","",""
"","","","HRH1","","",""
"","","","PPARG","","",""
"","","","TSEN2","","",""
"","","","TMEM40","","",""
"","","","PLXND1","","",""
"","","","TMCC1","","",""
"","","","FGD5","","",""
"","","","SLC6A6","","",""
"","","","TMEM43","","",""
"","","","GATA2","","",""
"","","","RUVBL1","","",""
"","","","MCM2","","",""
"","","","ACP3","","",""
"","","","ACAD11","","",""
"","","","ACKR4","","",""
"","","","SLCO2A1","","",""
"","","","RYK","","",""
"","","","AMOTL2","","",""
"","","","PCCB","","",""
"","","","PXYLP1","","",""
"","","","RASA2","","",""
"","","","PLS1","","",""
"","","","CP","","",""
"","","","WWTR1","","",""
"","","","P2RY12","","",""
"","","","MME","","",""
"","","","TRIM59","","",""
"","","","MECOM","","",""
"","","","PRKCI","","",""
"","","","NCEH1","","",""
"","","","ABCC5","","",""
"","","","MAGEF1","","",""
"","","","MAP3K13","","",""
"","","","LIPH","","",""
"","","","IGF2BP2","","",""
"","","","TBCCD1","","",""
"","","","KNG1","","",""
"","","","MASP1","","",""
"","","","P3H2","","",""
"","","","MB21D2","","",""
"","","","APOD","","",""
"","","","PCYT1A","","",""
"","","","TFRC","","",""
"","","","SLC12A8","","",""
"","","","MUC13","","",""
"","","","MYLK","","",""
"","","","CD86","","",""
"","","","B4GALT4","","",""
"","","","QTRT2","","",""
"","","","GRAMD1C","","",""
"","","","CD200R1","","",""
"","","","ATG3","","",""
"","","","NECTIN3","","",""
"","","","FILIP1L","","",""
"","","","DCBLD2","","",""
"","","","CLDND1","","",""
"","","","GBE1","","",""
"","","","ROBO1","","",""
"","","","ROBO2","","",""
"","","","MRPL39","","",""
"","","","CLDN8","","",""
"","","","RCAN1","","",""
"","","","CBR3","","",""
"","","","MORC3","","",""
"","","","CHAF1B","","",""
"","","","KCNJ15","","",""
"","","","IGSF5","","",""
"","","","FAM3B","","",""
"","","","RIPK4","","",""
"","","","OBP","","",""
"","","","SHROOM2","","",""
"","","","MID1","","",""
"","","","ARHGAP6","","",""
"","","","EGFL6","","",""
"","","","GPM6B","","",""
"","","","GEMIN8","","",""
"","","","FANCB","","",""
"","","","MOSPD2","","",""
"","","","ASB9","","",""
"","","","BMX","","",""
"","","","SCML2","","",""
"","","","PHKA2","","",""
"","","","MAP7D2","","",""
"","","","SMS","","",""
"","","","SAT1","","",""
"","","","PDK3","","",""
"","","","TASL","","",""
"","","","SYTL5","","",""
"","","","TSPAN7","","",""
"","","","CXorf38","","",""
"","","","DDX3X","","",""
"","","","GPR82","","",""
"","","","CHST7","","",""
"","","","SLC9A7","","",""
"","","","SYN1","","",""
"","","","TIMP1","","",""
"","","","ZNF81","","",""
"","","","CCDC120","","",""
"","","","SYNJ2","","",""
"","","","GSPT2","","",""
"","","","MAGED1","","",""
"","","","HSD17B10","","",""
"","","","GNL3L","","",""
"","","","APEX2","","",""
"","","","MAGEH1","","",""
"","","","KLF8","","",""
"","","","HEPH","","",""
"","","","AR","","",""
"","","","KIF4A","","",""
"","","","PDZD11","","",""
"","","","CHIC1","","",""
"","","","ZDHHC15","","",""
"","","","POF1B","","",""
"","","","TNMD","","",""
"","","","SYTL4","","",""
"","","","ZMAT1","","",""
"","","","GPRASP2","","",""
"","","","BEX1","","",""
"","","","PWWP3B","","",""
"","","","RNF128","","",""
"","","","MID2","","",""
"","","","COL4A5","","",""
"","","","CAPN6","","",""
"","","","PLS3","","",""
"","","","DOCK11","","",""
"","","","KLHL13","","",""
"","","","SMARCA1","","",""
"","","","XPNPEP2","","",""
"","","","GPC4","","",""
"","","","PABIR2","","",""
"","","","SLC9A6","","",""
"","","","FHL1","","",""
"","","","MAMLD1","","",""
"","","","MTMR1","","",""
"","","","ZNF185","","",""
"","","","SLC6A8","","",""
"","","","PLXNB3","","",""
"","","","PDZD4","","",""
"","","","L1CAM","","",""
"","","","ARHGAP4","","",""
"","","","IRAK1","","",""
"","","","MTCP1","","",""
"","","","F8","","",""
"","","","GAB3","","",""
"","","","PNPLA2","","",""
"","","","EPS8L2","","",""
"","","","SLC22A18","","",""
"","","","CPT1A","","",""
"","","","LRP5","","",""
"","","","AIP","","",""
"","","","CARNS1","","",""
"","","","PC","","",""
"","","","MRPL11","","",""
"","","","CST6","","",""
"","","","BANF1","","",""
"","","","FOSL1","","",""
"","","","CCDC85B","","",""
"","","","POLA2","","",""
"","","","TM7SF2","","",""
"","","","PPP2R5B","","",""
"","","","CDC42BPG","","",""
"","","","MAP4K2","","",""
"","","","INCENP","","",""
"","","","PHEROC","","",""
"","","","SCGB1D1","","",""
"","","","FADS2","","",""
"","","","FADS3","","",""
"","","","CYB561A3","","",""
"","","","LRRC10B","","",""
"","","","MS4A7","","",""
"","","","PTGDR2","","",""
"","","","TMEM132A","","",""
"","","","DTX4","","",""
"","","","FAM111B","","",""
"","","","PTPMT1","","",""
"","","","MADD","","",""
"","","","NR1H3","","",""
"","","","PACSIN3","","",""
"","","","LRP4","","",""
"","","","MDK","","",""
"","","","CREB3L1","","",""
"","","","LARGE2","","",""
"","","","MAPK8IP1","","",""
"","","","CHST1","","",""
"","","","PRDM11","","",""
"","","","PRR5L","","",""
"","","","COMMD9","","",""
"","","","LDLRAD3","","",""
"","","","SLC1A2","","",""
"","","","PDHX","","",""
"","","","APIP","","",""
"","","","ELF5","","",""
"","","","CAT","","",""
"","","","ABTB2","","",""
"","","","LMO2","","",""
"","","","KIAA1549L","","",""
"","","","PRRG4","","",""
"","","","QSER1","","",""
"","","","PAX6","","",""
"","","","ANO3","","",""
"","","","ANO5","","",""
"","","","NAV2","","",""
"","","","PLEKHA7","","",""
"","","","PDE3B","","",""
"","","","PSMA1","","",""
"","","","ARNTL","","",""
"","","","TEAD1","","",""
"","","","CTR9","","",""
"","","","CFD","","",""
"","","","WDR18","","",""
"","","","MISP","","",""
"","","","ZNF555","","",""
"","","","GNA15","","",""
"","","","NCLN","","",""
"","","","TJP3","","",""
"","","","ANKRD24","","",""
"","","","EBI3","","",""
"","","","CREB3L3","","",""
"","","","STAP2","","",""
"","","","MPND","","",""
"","","","PLIN5","","",""
"","","","UHRF1","","",""
"","","","TUBB4A","","",""
"","","","C3","","",""
"","","","CAMSAP3","","",""
"","","","LRRC8E","","",""
"","","","SNAPC2","","",""
"","","","CERS4","","",""
"","","","ANGPTL4","","",""
"","","","CNN1","","",""
"","","","C19orf38","","",""
"","","","SLC44A2","","",""
"","","","S1PR2","","",""
"","","","SHFL","","",""
"","","","COL5A3","","",""
"","","","HOOK2","","",""
"","","","NFIX","","",""
"","","","STX10","","",""
"","","","ZSWIM4","","",""
"","","","PODNL1","","",""
"","","","ASF1B","","",""
"","","","ADGRL1","","",""
"","","","DNAJB1","","",""
"","","","ADGRE3","","",""
"","","","ILVBL","","",""
"","","","CASP14","","",""
"","","","CYP4F3","","",""
"","","","SIN3B","","",""
