Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000037554	34.5630324421723	-2.18354570274518	0.437555274292884	-4.99033112164839	6.02758781385458e-07	5.18241242998482e-06	17.5086188952384	79.9392509700084	36.6892496365016	33.8189505873911	42.4633886881326	82.1700962172825	39.648393477256	44.2429605249655	8.59068441338409	15.9044593208913	10.994651591248	7.72172684131676
ENSSSCG00000037559	59.633311836674	-4.33485629096148	0.44690543063151	-9.69971719707233	3.02335461115572e-22	2.53258394631628e-20	37.4047767307367	144.406388849047	110.067748909505	206.971977594833	24.6561611737544	94.2539338962946	67.2298845918689	125.175205387707	1.90904098075202	6.36178372835652	2.99854134306764	7.72172684131676
ENSSSCG00000037564	43.8272884114351	-8.52273705266474	1.15232949233964	-7.39609383368338	1.40248918588348e-13	3.70918628374828e-12	11.9376947012989	67.0458233942006	78.0822492264008	129.864770255582	13.0129739528148	59.2108046271594	82.7444733438387	148.915330547445	0	0	0	0
ENSSSCG00000037565	32.2356893888624	-1.68624986064641	0.436519986146044	-3.86293850032849	0.000112031219348233	0.000593193166843082	50.9341640588755	37.3909399698426	43.2744995712583	87.9292715272168	7.53382702531384	47.1269669481473	24.9957263226179	61.5085060956837	15.2723278460162	15.9044593208913	13.9931929343157	8.82483067579058
ENSSSCG00000037572	328.9349282749	1.73535405751302	0.308363664891312	5.62762171776846	1.82711230708825e-08	2.08552980413638e-07	74.0137071480534	283.655406667772	218.25399783765	474.818066246971	54.1065759090722	247.718672419749	131.874004391743	260.062280158943	524.031749216429	491.977941659571	1032.49773579629	512.943283030328
ENSSSCG00000037579	785.427722400987	3.49646046700151	1.1854172546859	2.94956096950687	0.00318225777234433	0.0114618245457744	651.798130690922	101.858077848882	22.5779997763087	363.891908320328	29.4504147353178	30.2095941975303	6.03345118132157	15.1073523743785	2546.66066832319	837.634857566942	4109.00115378369	429.107391610317
ENSSSCG00000037582	319.92099998319	-4.92642410240358	0.602136534545208	-8.18157314789825	2.80161947318682e-16	1.13184323716955e-14	85.1555555359325	511.86907475957	438.38949565666	1229.65704335754	93.8303911334543	358.88997906666	516.29103680166	1195.63903077224	4.77260245188005	26.5074322014855	3.99805512409019	35.2993227031623
ENSSSCG00000037591	149.625757234743	-1.09405070048242	0.29593206708972	-3.696965696356	0.000218191812436816	0.00107281997284158	202.144963608662	305.574233546645	159.92749841552	262.435056558155	119.171445673146	193.341402864194	88.7779245251602	142.440750958425	87.8158851145929	93.306161349229	89.9562402920292	86.0420990889582
ENSSSCG00000037595	747.640160003789	1.98583922189354	0.160645791421178	12.3616012864421	4.21672336470908e-35	1.12389368329772e-32	295.258982278794	609.859124335709	406.403995973556	587.096982197109	203.413329683474	500.270879911102	238.752282460868	352.864587601554	1505.27881332297	1550.15463514287	1579.23177401562	1638.10919419363
ENSSSCG00000037597	135.20390616257	-1.24463996278036	0.331908389356683	-3.74995029560043	0.000176869624781774	0.000891209258383588	179.065420519484	205.005498455344	183.446248182508	273.25712074612	74.6533768872008	138.96413330864	131.012082794411	171.576359109012	33.4082171631604	94.3664586372884	55.9727717372626	127.960044798963
ENSSSCG00000037598	3097.166159161	3.12062209725544	0.426381814234315	7.3188442683921	2.50115647962857e-13	6.36074776101822e-12	1076.78006205716	1646.49070143066	1179.70048831213	1180.9577545117	379.430924729443	567.94037091357	639.545825220086	258.983183560774	7137.9042270318	8946.78851664539	8493.8681111296	7205.47424678301
ENSSSCG00000037606	402.784960699595	1.03049348478559	0.213230599549701	4.83276549876883	1.34649360544963e-06	1.07819306533916e-05	286.504672831175	533.787901638443	266.232247362306	555.983547656709	145.882286944714	390.307957032092	171.522397868999	238.480348195546	702.527080916743	628.756291819236	564.725286277739	664.068508353241
ENSSSCG00000037617	74.6776372725549	-1.16519971949189	0.36725038829781	-3.17276647382876	0.00150993923010563	0.00599390383355084	67.646936640694	132.80230403082	47.0374995339764	158.27268874899	43.8331754200078	245.301904883946	31.0291775039395	119.779722396858	56.3167089321846	45.5927833865551	25.9873583065862	43.0210495444791
ENSSSCG00000037619	223.837769278667	1.34365227691111	0.40590256961594	3.31028275623498	0.000932017687836461	0.00389965321253164	144.844029042427	122.487561970174	140.17174861125	127.15925420859	150.676540506277	177.632413881478	99.9829052904717	91.7232108444406	297.810392997315	440.023374544659	297.855106744719	587.954343774548
ENSSSCG00000037634	169.304189224249	-7.20527596611186	0.72949718783236	-9.87704419741732	5.23544171904611e-23	4.53362744303727e-21	79.5846313419929	197.269441909859	270.935997315704	614.152142667022	97.93975132908	118.421609254319	262.886087186154	576.237583422721	2.86356147112803	3.18089186417826	0.999513781022547	0
ENSSSCG00000037639	104.743455950794	1.33316990579078	0.290963019984173	4.58192214894973	4.60721423330739e-06	3.30492337330191e-05	19.1003115220783	134.091646788401	55.5042494500921	109.573399903147	32.1899881990682	171.590495041972	55.1629822292258	71.2203754792127	175.631770229186	243.868376253667	138.932415562134	186.424548026076
ENSSSCG00000037642	263.823511140427	-1.1307341008032	0.472636418673782	-2.39239731880171	0.016738711064004	0.048187948253124	565.84672884157	464.163392729081	237.068997651241	561.394579750692	187.660782266909	235.634834740737	104.29251327713	149.994427145615	120.269581787377	184.491728122339	105.94846078839	226.136286067134
ENSSSCG00000037645	1907.71472187594	1.45902116650103	0.305269461152711	4.77945340811917	1.757723981318e-06	1.37528666673997e-05	1276.53748672557	1759.95286409777	1206.98223804183	2273.98623749618	738.315048480757	737.11409841974	836.063949411703	882.70101730297	2925.60530300247	3520.18699635727	3276.40617419191	4414.62154556424
ENSSSCG00000037654	2.08446913044148	-3.29838149685147	1.35375910853509	-2.4364611665813	0.014831761902105	0.0433740759161395	5.57092419393951	2.57868551516156	3.76299996271811	2.70551604699129	2.05468009781287	2.41676753580243	0	2.15819319633978	0.95452049037601	0	0	0
ENSSSCG00000037669	87.58665180135	-1.32463467850294	0.530927515198112	-2.49494448975519	0.0125976836070089	0.03775914498872	60.4843198199146	270.761979091964	70.5562493009646	252.965750393685	43.1482820540702	200.591705471601	37.9245502825927	139.203461163916	15.2723278460162	69.9796210119217	5.99708268613528	109.207279612908
