NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,BvsA_pvalue,BvsA_padj,Avg_norm_nose,Avg_norm_lung,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
100135681,4283,ENSSSCG00000032777,ENSG00000138755,CXCL9,CXCL9,C,-3.106048652,7.93E-07,6.64E-06,1873.100308,231.2602995,1267.783177,5430.711695,2254.036978,792.7162018,860.910961,2589.566415,1413.55142,375.5256162,22.90849177,409.2747532,129.9367915,362.9211615
494467,9547,ENSSSCG00000014310,ENSG00000145824,CXCL14,CXCL14,C,-2.257332262,0.029823573,0.078997055,439.7972756,145.5053453,806.9881618,228.2136681,419.5744958,133.9230443,1077.337265,304.5127095,361.1451493,186.6837115,107.8608154,381.7070237,1.999027562,90.45451443
396880,3576,ENSSSCG00000008953,ENSG00000169429,CXCL8,CXCL8,C,-2.12833679,0.04335789,0.108147886,22783.11448,7038.416676,93698.16986,5853.616119,27852.78497,18112.07718,15768.29996,2471.144805,14993.12619,3515.696717,13160.92852,3715.281697,9628.316253,1649.140233
100169744,6373,ENSSSCG00000008978,ENSG00000169248,CXCL11,CXCL11,C,-1.738987151,0.003473206,0.012379404,102.9047848,27.31539103,59.68847351,261.7365798,71.49699929,250.2602343,16.43744078,59.21080463,31.0291775,73.37856868,0.95452049,34.98981051,26.98687209,46.33036105
494460,6387,ENSSSCG00000034973,ENSG00000107562,CXCL12,CXCL12,C,-1.57317389,0.034036062,0.088420519,232.4417111,73.40873287,28.65046728,230.7923536,200.379748,328.7201997,11.64318722,558.2733008,174.1081627,326.9662692,6.681643433,134.6577556,9.99513781,142.3003946
396659,7852,ENSSSCG00000039416,ENSG00000121966,CXCR4,CXCR4,C,-0.526036925,0.17538876,0.338776802,5596.943036,4002.098389,4028.574039,7991.346411,6379.225687,6344.43513,4177.164639,7709.488439,5442.172966,2703.136978,6411.514134,3339.936457,3958.074573,2298.868391
396735,58191,ENSSSCG00000017920,ENSG00000161921,CXCL16,CXCL16,C,-0.209297706,0.599227038,0.826585327,2602.745928,2568.350228,3500.132086,3020.930081,2134.561729,2545.8906,2444.384423,3869.244825,1758.320059,1548.503618,2706.06559,3126.816702,2325.868568,2114.650051
100524123,2833,ENSSSCG00000012402,ENSG00000186810,CXCR3,CXCR3,C,0.161712144,0.804156531,0.94545507,10.62810369,12.17170105,6.366770507,18.05079861,9.407499907,16.23309628,3.42446683,14.50060521,5.171529584,11.87006258,0,15.90445932,2.998541343,29.78380353
494019,3627,ENSSSCG00000032474,ENSG00000169245,CXCL10,CXCL10,C,0.194234682,0.714129956,0.912141969,1400.38097,1365.319511,335.8471443,3329.083,1061.165989,1811.342993,145.8822869,3124.880424,819.6874391,575.1584868,302.5829954,2142.860819,1682.181693,1333.652536
100622457,53832,ENSSSCG00000004157,ENSG00000016402,IL20RA,IL20RA,D,-7.783564374,1.16E-11,2.26E-10,48.17507542,0,9.550155761,63.17779512,13.17049987,87.92927153,10.95829386,64.0443397,27.58149111,108.9887564,0,0,0,0
100038024,29949,ENSSSCG00000015653,ENSG00000142224,IL19,IL19,D,-7.677491886,2.57E-09,3.40E-08,33.74705422,0,31.03800622,7.736056545,28.22249972,73.04893327,35.61445503,2.416767536,24.99572632,66.90398909,0,0,0,0
100522695,50604,ENSSSCG00000015654,ENSG00000162891,IL20,IL20,D,-6.580067975,4.54E-06,3.26E-05,15.19799193,0,11.9376947,2.578685515,34.80774966,31.11343454,18.49212088,0,4.309607987,18.34464217,0,0,0,0
100628112,7850,ENSSSCG00000028331,ENSG00000115590,IL1R2,IL1R2,D,-6.438238641,2.25E-13,5.75E-12,381.6506863,4.831018266,1064.842367,241.1070957,261.5284974,1114.672611,99.99443143,36.25151304,138.7693772,96.03959724,2.863561471,6.361783728,8.995624029,1.103103834
106509756,8808,ENSSSCG00000023550,ENSG00000115598,IL1RL2,IL1RL2,D,-4.954605754,8.73E-07,7.25E-06,25.55448356,0.768778767,19.89615784,69.62450891,38.57074962,32.46619256,4.794253562,20.54252405,12.06690236,6.474579589,0.95452049,2.120594576,0,0
397122,3553,ENSSSCG00000039214,ENSG00000125538,IL1B,IL1B,D,-4.458542725,6.46E-05,0.000363287,13777.72284,884.6013877,68545.44713,3959.571609,11042.52339,12155.8836,7487.254276,1204.758617,5022.417148,803.9269656,1414.599367,966.9911267,769.6256114,387.1894459
