baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000000010	541.095065849623	-2.62001819130013	0.389572875405065	-6.72536091886768	1.75157729052093e-11	5.68928985649679e-09
ENSSSCG00000000037	82.1808614555044	-1.51931007559333	0.445317888810767	-3.41174274325849	0.000645490002778179	0.0222649168594183
ENSSSCG00000000105	19.4673268320211	-3.87638937389184	1.03326198802969	-3.75160358050493	0.000175707133039336	0.00779511124852886
ENSSSCG00000000142	34.2356689662032	-2.46888498570204	0.761844255791756	-3.24066889909962	0.00119249604661753	0.0358721743505102
ENSSSCG00000000152	112.485739931667	-1.74238096896094	0.548310804122231	-3.17772503452717	0.00148435449348561	0.0426306610529068
ENSSSCG00000000171	154.553262353583	-1.78018193264082	0.336523862523405	-5.28991293304502	1.22374600207928e-07	1.53772827382649e-05
ENSSSCG00000000203	11.781459805597	6.6094402146029	1.66020604200246	3.98109635032463	6.85981340903744e-05	0.00365413805804377
ENSSSCG00000000232	184.340605817209	1.83278946274451	0.470205278808142	3.89784961025999	9.70506533934819e-05	0.00483198910070759
ENSSSCG00000000253	93.3787595497003	-2.39309116930578	0.60631488200331	-3.94694446786269	7.91549069487967e-05	0.00409026985074047
ENSSSCG00000000273	88.3589006823275	2.41821399904313	0.568856500848254	4.25100881406329	2.12809792032637e-05	0.00139239864887733
ENSSSCG00000000275	57.617634310265	-2.51463564466177	0.710590085561643	-3.53879922582121	0.000401951441393627	0.0149866673983475
ENSSSCG00000000475	115.192180377709	-2.08601595575951	0.499552940734999	-4.17576554086605	2.96985587530528e-05	0.00187135214091984
ENSSSCG00000000522	216.794416942352	-1.5091867108388	0.457946462063664	-3.29555272473966	0.000982282691242339	0.0306227953251611
ENSSSCG00000000633	187.869339952881	1.42025728428643	0.448776106828024	3.164734625301	0.00155224455276184	0.0439330294372967
ENSSSCG00000000660	290.550560739546	3.04265029636661	0.474791279552777	6.40839549376852	1.4705902758372e-10	3.89549369766428e-08
ENSSSCG00000000707	61.1607301392805	3.19869294326942	0.699789367898922	4.57093675611751	4.85548816114048e-06	0.000397829246211882
ENSSSCG00000000709	33.1703322430648	3.79038706618144	0.789321059411669	4.80208531241603	1.57021763222679e-06	0.000151940263737417
ENSSSCG00000000743	194.79734993928	1.77145236604707	0.531463185635383	3.33316100517713	0.000858652375282001	0.0276920465806077
ENSSSCG00000000784	688.900234906768	2.72258832082894	0.33477716378166	8.13253894045355	4.20391088345327e-16	2.6068069214577e-13
