	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000145	502	407	604	628	503	313	223	579	363	142	1240	858
ENSSSCG00000000146	208	227	276	4180	1706	1643	625	63	720	267	1412	867
ENSSSCG00000000148	25	27	28	17	194	44	6	67	61	53	183	99
ENSSSCG00000000151	0	0	3	0	0	0	9	3	16	1	0	0
ENSSSCG00000000152	418	105	199	196	269	29	147	142	29	11	68	55
ENSSSCG00000000156	80	28	77	107	70	24	9	27	11	3	43	13
ENSSSCG00000000157	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000158	96	21	106	84	90	58	2	94	27	6	44	27
ENSSSCG00000000159	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000160	166	50	37	90	154	68	128	111	22	34	88	24
ENSSSCG00000000161	54	13	32	32	18	2	31	13	29	34	44	0
ENSSSCG00000000162	190	143	69	192	239	83	32	48	11	42	4	32
ENSSSCG00000000164	5	37	24	74	39	13	47	32	22	19	35	4
ENSSSCG00000000167	89	30	25	20	182	65	74	118	41	28	110	17
ENSSSCG00000000169	28	24	7	55	19	0	24	34	28	62	21	2
ENSSSCG00000000171	285	172	146	291	475	254	121	221	36	18	149	93
ENSSSCG00000000174	0	0	13	0	0	0	0	1	0	2	0	0
ENSSSCG00000000175	313	168	342	384	166	238	52	241	39	33	199	69
ENSSSCG00000000176	221	151	268	293	242	126	42	124	80	53	212	152
ENSSSCG00000000179	18	43	97	3	0	8	28	40	17	4	2	33
ENSSSCG00000000182	46	11	0	35	109	15	9	43	13	22	4	0
ENSSSCG00000000183	10	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000184	2	15	34	0	0	0	13	4	32	3	2	22
ENSSSCG00000000185	27	10	34	4	62	14	2	0	12	8	25	15
ENSSSCG00000000186	0	0	0	4	0	0	0	8	0	12	0	0
ENSSSCG00000000188	2	0	0	0	0	0	5	0	0	0	0	0
ENSSSCG00000000189	32	52	16	33	71	61	18	61	31	26	96	35
ENSSSCG00000000190	124	123	180	243	114	66	17	175	55	16	185	107
ENSSSCG00000000194	34	22	82	58	20	18	6	101	32	4	10	33
ENSSSCG00000000195	0	20	0	0	0	4	0	0	2	3	0	0
ENSSSCG00000000197	0	0	1	0	0	4	5	0	0	2	0	0
ENSSSCG00000000198	21	4	7	0	8	2	0	0	0	2	1	0
ENSSSCG00000000199	128	24	108	83	259	65	47	44	15	11	46	65
ENSSSCG00000000202	57	106	85	59	151	52	91	71	57	20	87	99
ENSSSCG00000000203	4	48	11	0	0	0	0	17	4	18	22	4
ENSSSCG00000000204	176	155	242	161	216	47	117	147	48	22	102	57
ENSSSCG00000000205	5	28	4	4	6	5	18	7	31	10	12	0
ENSSSCG00000000206	21	2	12	26	37	34	26	34	3	14	0	0
