	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000005713	2	28	0	69	37	22	4	21	30	4	2	0
ENSSSCG00000005715	2054	1608	2292	2461	2941	1867	1150	2130	1269	522	2539	2659
ENSSSCG00000005716	204	37	133	255	107	120	48	97	38	24	77	71
ENSSSCG00000005717	71	106	81	79	103	11	30	47	58	31	116	68
ENSSSCG00000005719	450	441	491	389	529	295	150	460	443	177	837	1023
ENSSSCG00000005720	50	88	90	63	62	41	24	115	37	21	89	215
ENSSSCG00000005723	6	0	0	3	6	7	0	0	1	2	1	0
ENSSSCG00000005724	1158	429	745	716	1591	430	426	646	203	134	745	752
ENSSSCG00000005725	176	127	132	135	235	171	55	128	59	74	320	217
ENSSSCG00000005727	26	0	0	7	0	0	0	0	0	1	0	39
ENSSSCG00000005729	67	30	11	62	91	0	8	76	45	12	57	34
ENSSSCG00000005730	2	2	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000005731	66	72	134	72	158	65	54	98	47	60	144	153
ENSSSCG00000005737	0	28	0	20	0	0	33	0	9	21	0	0
ENSSSCG00000005738	263	207	124	361	650	307	269	666	99	24	225	160
ENSSSCG00000005740	7	41	13	1	3	15	2	17	0	17	1	0
ENSSSCG00000005742	1	14	81	0	0	0	2	56	16	5	0	0
ENSSSCG00000005743	354	275	483	347	273	392	111	436	136	56	402	142
ENSSSCG00000005749	477	198	595	433	563	502	335	557	456	170	820	601
ENSSSCG00000005751	3850	1132	1719	8864	6636	2518	2651	4370	1150	532	2215	1027
ENSSSCG00000005753	533	407	611	631	418	369	261	281	321	107	626	638
ENSSSCG00000005756	12	0	0	0	0	0	0	37	0	3	0	0
ENSSSCG00000005759	33	33	58	39	48	34	20	26	32	28	97	52
ENSSSCG00000005761	61	40	104	79	105	117	25	126	26	3	121	67
ENSSSCG00000005762	24	8	0	3	42	42	10	55	3	10	29	22
ENSSSCG00000005767	0	0	0	0	0	0	0	0	12	4	0	0
ENSSSCG00000005768	30	9	0	26	62	13	12	26	10	7	29	27
ENSSSCG00000005771	45	0	8	36	16	0	26	2	22	7	24	36
ENSSSCG00000005773	73	53	34	120	25	62	15	61	11	24	33	3
ENSSSCG00000005777	12	1	10	0	43	20	8	0	2	10	13	1
ENSSSCG00000005778	3	2	0	0	1	0	0	0	9	0	0	0
ENSSSCG00000005780	0	1	6	0	0	0	0	0	0	16	0	0
ENSSSCG00000005781	4	0	0	0	0	0	14	0	16	6	0	0
ENSSSCG00000005782	1	0	9	22	0	0	0	21	10	2	44	12
ENSSSCG00000005785	31	27	60	91	55	1	22	15	1	6	19	40
ENSSSCG00000005786	74	28	51	42	67	20	13	33	15	11	39	82
ENSSSCG00000005787	105	106	190	110	113	113	77	68	75	14	125	163
ENSSSCG00000005790	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005796	0	0	0	0	0	0	16	0	1	3	0	0
ENSSSCG00000005801	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005810	0	0	5	0	0	0	4	0	0	1	0	0
ENSSSCG00000005812	0	0	0	0	0	0	3	0	0	0	0	0
ENSSSCG00000005813	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005828	240	184	358	245	448	253	256	125	313	174	1108	788
ENSSSCG00000005830	0	5	0	0	14	24	1	0	0	8	0	0
ENSSSCG00000005832	581	510	780	994	917	470	218	514	228	180	594	614
ENSSSCG00000005834	0	7	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000005835	5	7	22	0	0	0	0	0	0	0	0	0
ENSSSCG00000005836	0	2	0	0	0	0	0	0	0	3	0	0
ENSSSCG00000005837	72	34	40	81	71	20	4	85	25	43	134	6
ENSSSCG00000005838	157	51	92	219	236	203	36	158	131	38	195	187
ENSSSCG00000005839	95	54	74	55	50	165	74	61	23	16	129	35
ENSSSCG00000005840	11	0	22	0	1	5	0	4	6	4	11	0
ENSSSCG00000005841	299	306	460	350	398	246	152	277	256	79	427	721
ENSSSCG00000005842	3	10	0	0	5	3	0	0	7	7	4	13
ENSSSCG00000005844	23	10	8	21	1	0	0	0	4	2	3	0
ENSSSCG00000005845	0	23	19	50	23	31	0	27	33	33	66	76
ENSSSCG00000005846	185	176	121	175	126	186	41	143	109	38	212	142
ENSSSCG00000005847	0	0	0	0	0	0	7	0	0	0	0	3
ENSSSCG00000005848	1	5	0	27	0	0	0	0	0	2	0	0
ENSSSCG00000005852	5	0	20	0	0	0	8	0	3	3	0	0
ENSSSCG00000005855	83	68	96	38	103	46	10	97	21	8	45	31
ENSSSCG00000005856	1	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005857	2	1	2	0	0	4	0	0	0	0	0	0
ENSSSCG00000005858	0	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000005859	49	39	92	140	49	55	20	62	95	16	60	104
ENSSSCG00000005869	0	1	0	0	0	0	0	5	0	0	0	0
ENSSSCG00000005872	0	1	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005873	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005874	0	0	0	0	0	0	8	0	0	6	0	0
ENSSSCG00000005880	15	2	13	19	11	0	9	9	0	6	2	13
ENSSSCG00000005890	62	48	37	27	62	6	11	17	24	13	35	17
ENSSSCG00000005893	31	42	1	25	75	77	6	180	10	7	5	20
ENSSSCG00000005894	98	93	77	77	96	267	31	30	58	33	104	126
ENSSSCG00000005895	13	5	10	4	29	48	13	40	2	9	20	6
ENSSSCG00000005896	13	21	0	17	12	0	7	28	20	1	1	2
ENSSSCG00000005899	45	28	79	59	130	60	11	38	21	8	32	57
ENSSSCG00000005901	195	86	323	83	56	100	28	26	220	103	443	604
ENSSSCG00000005902	0	20	23	6	0	0	13	0	19	9	0	0
ENSSSCG00000005904	26	31	38	18	64	54	15	65	52	4	76	46
ENSSSCG00000005905	0	0	29	2	0	0	9	9	0	2	0	9
ENSSSCG00000005907	151	123	146	252	185	256	152	145	84	26	254	148
ENSSSCG00000005908	12	9	28	0	7	1	5	15	6	10	29	38
ENSSSCG00000005909	48	20	42	22	70	46	11	0	16	18	20	7
ENSSSCG00000005910	0	24	9	0	21	0	6	15	4	5	0	4
ENSSSCG00000005911	85	67	28	112	39	111	12	12	30	11	68	2
ENSSSCG00000005912	108	67	91	239	157	82	55	156	24	24	61	56
ENSSSCG00000005914	67	42	48	65	119	26	88	68	65	25	51	34
ENSSSCG00000005915	166	92	166	84	160	177	59	132	53	57	289	153
ENSSSCG00000005916	2	5	3	21	15	9	0	0	0	4	3	4
ENSSSCG00000005917	53	54	27	138	158	108	67	48	70	29	128	222
ENSSSCG00000005918	68	25	19	36	110	154	1	12	12	23	60	54
ENSSSCG00000005920	103	132	66	106	176	37	80	115	147	53	197	220
ENSSSCG00000005922	42	43	18	0	9	0	21	5	1	1	7	51
ENSSSCG00000005923	19	10	36	0	0	0	2	64	0	4	0	0
ENSSSCG00000005924	680	340	458	723	966	833	196	540	510	170	1137	1007
ENSSSCG00000005925	37	20	20	21	9	7	2	33	10	0	20	17
ENSSSCG00000005928	29	11	0	0	0	4	12	25	0	11	1	3
ENSSSCG00000005930	126	51	121	157	289	173	78	216	79	13	183	132
ENSSSCG00000005933	4	14	6	24	17	4	11	41	20	6	21	14
ENSSSCG00000005934	142	50	109	110	187	76	45	104	152	67	130	283
ENSSSCG00000005935	246	200	321	285	350	206	143	202	79	54	410	511
ENSSSCG00000005938	10	22	22	73	33	1	22	23	12	25	0	0
ENSSSCG00000005939	0	8	0	0	0	0	15	63	31	39	0	0
ENSSSCG00000005941	10	0	16	15	20	0	65	25	11	7	30	4
ENSSSCG00000005943	132	204	144	150	248	159	50	177	73	46	229	115
ENSSSCG00000005944	145	242	229	71	179	89	33	348	46	23	158	199
ENSSSCG00000005946	61	17	51	98	117	3	34	121	0	21	9	0
ENSSSCG00000005948	8	5	0	48	0	0	3	2	35	45	0	0
ENSSSCG00000005949	47	73	43	102	149	10	73	79	60	46	155	199
ENSSSCG00000005950	374	195	288	433	424	110	69	292	100	65	300	454
ENSSSCG00000005951	18	5	0	52	8	0	30	42	1	12	27	0
ENSSSCG00000005952	0	23	11	0	2	2	11	4	70	13	1	63
ENSSSCG00000005953	13	25	27	0	10	0	35	0	0	1	0	0
ENSSSCG00000005954	0	2	15	0	0	0	0	0	0	0	0	0
ENSSSCG00000005955	143	71	300	110	243	159	109	166	54	44	233	236
ENSSSCG00000005959	205	34	216	59	273	17	81	100	95	60	237	249
ENSSSCG00000005961	2	0	0	0	0	1	2	0	1	9	0	1
ENSSSCG00000005962	0	1	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000005965	130	98	70	54	103	52	49	45	67	14	69	39
ENSSSCG00000005967	34	79	82	14	45	125	13	40	40	40	242	40
ENSSSCG00000005969	177	76	111	159	243	75	79	134	10	60	141	179
ENSSSCG00000005970	9	24	0	11	41	4	21	16	103	53	133	30
ENSSSCG00000005971	56	4	89	70	80	7	32	22	29	10	42	49
ENSSSCG00000005975	393	119	420	314	723	96	266	286	119	97	591	333
ENSSSCG00000005976	32	28	9	83	102	75	15	44	7	17	68	38
ENSSSCG00000005979	1	0	0	7	0	0	2	0	0	15	20	0
ENSSSCG00000005981	252	147	189	230	229	207	66	260	9	24	78	61
ENSSSCG00000005982	28	9	11	45	10	0	1	36	0	4	12	3
ENSSSCG00000005983	241	83	307	244	291	48	69	159	39	10	275	400
ENSSSCG00000005984	178	74	218	193	230	61	46	165	34	43	165	62
ENSSSCG00000005986	0	11	0	0	0	0	25	0	0	11	0	0
ENSSSCG00000005987	93	85	169	80	122	40	75	90	14	9	69	95
ENSSSCG00000005992	28	1	29	0	0	0	20	35	2	11	2	0
ENSSSCG00000005994	137	76	149	73	178	71	62	19	75	31	122	188
ENSSSCG00000005995	61	2	1	16	3	0	2	20	1	1	14	39
ENSSSCG00000005996	2	1	17	22	3	0	2	0	2	2	3	3
ENSSSCG00000005997	457	73	209	1648	1054	119	229	333	14	23	28	58
ENSSSCG00000006000	0	0	0	0	0	0	0	0	1	4	0	0
ENSSSCG00000006001	84	18	10	87	35	0	42	145	0	10	35	146
ENSSSCG00000006002	8	10	0	22	13	0	0	31	7	15	8	0
ENSSSCG00000006003	5	26	156	0	7	0	0	20	7	12	54	9
ENSSSCG00000006008	0	0	0	0	0	0	14	19	10	6	0	0
ENSSSCG00000006009	98	69	44	93	131	20	36	75	46	17	184	118
ENSSSCG00000006011	0	0	0	0	0	0	0	0	0	10	0	0
ENSSSCG00000006013	0	15	0	0	0	0	3	0	3	1	0	0
ENSSSCG00000006014	201	87	211	223	202	21	53	406	22	7	188	68
ENSSSCG00000006016	152	79	88	148	246	40	67	106	26	31	93	44
ENSSSCG00000006018	265	95	282	386	632	191	271	303	120	133	247	316
ENSSSCG00000006021	0	1	0	0	0	0	32	0	13	1	0	0
ENSSSCG00000006023	63	12	40	5	81	9	33	46	8	15	21	0
ENSSSCG00000006024	44	26	1	27	28	12	10	32	10	18	43	36
ENSSSCG00000006025	0	0	0	0	0	0	12	0	0	1	0	0
ENSSSCG00000006029	14	19	14	18	24	3	5	54	13	20	29	18
ENSSSCG00000006031	16	6	3	6	3	0	17	2	0	11	5	0
ENSSSCG00000006032	39	3	84	25	23	15	75	28	17	21	49	6
ENSSSCG00000006033	85	52	74	41	31	73	37	50	4	8	68	69
ENSSSCG00000006034	0	0	0	0	1	0	19	0	0	11	27	0
ENSSSCG00000006035	86	26	16	6	18	3	15	53	11	7	6	12
ENSSSCG00000006037	271	129	228	98	281	65	91	168	72	43	269	171
ENSSSCG00000006038	13	2	2	28	19	0	27	0	26	15	110	15
ENSSSCG00000006039	46	42	7	51	67	12	27	38	2	11	35	16
ENSSSCG00000006040	3	0	42	0	0	0	8	0	32	21	11	11
ENSSSCG00000006043	3	10	0	2	0	0	0	0	3	49	66	16
ENSSSCG00000006048	30	0	10	21	31	1	4	5	2	16	7	7
ENSSSCG00000006049	20	19	1	26	30	32	18	20	4	17	33	8
ENSSSCG00000006050	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000006051	1	0	0	4	10	0	4	0	0	2	1	0
ENSSSCG00000006052	61	43	39	16	19	5	1	63	5	17	6	4
ENSSSCG00000006053	16	0	0	4	0	0	0	0	1	0	0	0
ENSSSCG00000006054	110	71	27	26	71	70	24	49	12	46	99	9
ENSSSCG00000006056	0	0	0	0	0	0	0	0	0	6	0	0
ENSSSCG00000006059	35	3	0	4	47	15	3	0	9	3	15	12
ENSSSCG00000006060	163	195	170	106	63	213	22	89	35	50	61	34
ENSSSCG00000006061	32	45	44	53	97	0	32	27	34	48	138	47
ENSSSCG00000006062	446	232	264	387	325	93	85	392	42	41	330	383
ENSSSCG00000006063	1493	1045	1221	1320	1432	895	194	1993	135	167	677	626
ENSSSCG00000006064	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000006065	17	26	0	4	19	0	1	37	3	2	13	16
ENSSSCG00000006066	251	71	162	284	334	53	59	302	49	55	228	264
ENSSSCG00000006069	21	77	36	33	43	26	7	54	0	32	1	39
ENSSSCG00000006071	671	354	714	682	1074	209	421	496	132	136	734	529
ENSSSCG00000006073	40	14	34	88	110	55	14	100	0	13	0	0
ENSSSCG00000006074	120	7	127	164	126	66	70	15	14	52	41	69
ENSSSCG00000006078	36	78	14	27	66	10	6	87	5	23	42	3
ENSSSCG00000006079	14	0	5	32	70	0	7	21	11	12	3	73
ENSSSCG00000006081	41	22	61	74	100	29	17	102	20	15	28	39
ENSSSCG00000006082	55	8	51	148	46	66	18	71	3	30	10	10
ENSSSCG00000006083	80	24	21	100	60	12	20	48	7	7	52	14
ENSSSCG00000006084	291	119	243	337	517	271	182	289	118	62	462	423
ENSSSCG00000006087	36	24	186	34	110	25	24	136	50	43	209	249
ENSSSCG00000006088	109	51	146	276	238	86	79	172	134	143	506	624
ENSSSCG00000006089	114	60	52	75	68	20	45	127	45	35	177	198
ENSSSCG00000006090	108	46	94	99	115	90	26	37	27	19	160	60
ENSSSCG00000006093	16	0	0	39	14	0	4	11	0	3	37	35
ENSSSCG00000006095	30	5	28	2	23	1	2	8	4	4	26	69
ENSSSCG00000006096	56	68	141	90	115	83	26	73	108	23	102	106
ENSSSCG00000006098	34	7	94	11	93	0	12	135	20	14	21	15
ENSSSCG00000006099	168	83	308	59	28	54	31	94	2	30	142	80
ENSSSCG00000006100	262	107	286	266	340	63	43	366	42	37	272	223
ENSSSCG00000006101	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000006105	35	8	32	38	6	9	12	94	8	11	7	0
ENSSSCG00000006106	0	0	0	0	18	0	18	0	17	15	0	0
ENSSSCG00000006107	104	7	115	61	64	23	40	129	2	21	6	5
ENSSSCG00000006108	13	11	114	28	32	0	15	47	9	17	31	14
ENSSSCG00000006110	112	60	56	226	246	64	121	159	67	73	181	196
ENSSSCG00000006115	206	27	44	290	266	136	158	235	18	27	95	29
ENSSSCG00000006116	9	0	0	1	0	7	7	1	0	0	0	0
ENSSSCG00000006120	111	9	31	135	135	21	9	74	19	9	59	100
ENSSSCG00000006121	22	0	0	0	0	29	7	3	0	0	0	0
ENSSSCG00000006125	6	0	0	0	0	0	0	0	11	4	0	0
ENSSSCG00000006126	106	16	161	56	95	7	10	140	1	3	33	19
ENSSSCG00000006127	174	43	135	104	260	19	15	130	2	54	153	200
ENSSSCG00000006132	25	11	22	157	149	25	37	43	4	7	4	7
ENSSSCG00000006134	0	0	0	0	0	0	16	0	0	8	0	0
ENSSSCG00000006135	74	71	111	128	165	88	13	55	87	65	156	62
ENSSSCG00000006136	8	3	49	72	14	15	1	12	5	9	20	22
ENSSSCG00000006137	302	168	318	187	315	28	70	307	29	22	172	65
ENSSSCG00000006138	2	0	0	0	0	0	0	0	0	9	0	0
ENSSSCG00000006140	1	0	0	0	0	0	0	2	0	5	6	0
ENSSSCG00000006141	0	5	0	8	0	0	5	0	10	18	0	0
ENSSSCG00000006143	4	3	0	1	63	33	15	0	6	6	4	13
ENSSSCG00000006145	0	0	0	15	8	13	0	0	0	6	3	0
ENSSSCG00000006146	120	37	133	111	97	9	7	81	4	27	75	45
ENSSSCG00000006147	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000006148	3	0	0	0	0	0	0	0	0	8	0	0
ENSSSCG00000006149	0	0	0	0	0	0	0	0	16	8	0	0
ENSSSCG00000006151	21	0	2	13	6	3	37	11	4	15	15	114
ENSSSCG00000006153	62	23	195	116	52	1	30	61	44	12	187	89
ENSSSCG00000006155	63	46	14	89	58	40	22	120	40	11	57	6
ENSSSCG00000006156	219	146	210	80	198	169	58	272	42	21	179	105
ENSSSCG00000006157	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000006159	20	7	0	17	7	2	33	0	19	6	11	2
ENSSSCG00000006160	0	0	3	0	0	0	0	0	0	8	1	0
ENSSSCG00000006161	45	5	0	4	9	16	2	5	7	17	1	0
ENSSSCG00000006162	110	5	75	44	50	21	11	11	5	6	25	17
ENSSSCG00000006163	7	0	24	27	6	0	0	0	0	0	6	0
ENSSSCG00000006164	0	1	17	0	0	0	0	0	4	15	0	0
ENSSSCG00000006165	271	232	597	165	124	90	123	206	63	35	101	121
ENSSSCG00000006166	40	11	17	0	35	1	22	14	13	15	36	3
ENSSSCG00000006168	21	14	7	5	20	22	30	28	4	46	6	5
ENSSSCG00000006169	419	160	218	498	526	347	419	211	24	39	0	7
ENSSSCG00000006171	36	16	42	237	60	17	13	39	1	9	1	0
ENSSSCG00000006172	38	0	0	18	13	1	0	30	8	13	34	4
ENSSSCG00000006173	7	3	78	0	0	0	0	0	0	2	0	0
ENSSSCG00000006174	5	16	35	49	8	0	4	1	12	20	35	36
ENSSSCG00000006175	17	0	10	0	16	10	0	2	0	5	11	0
ENSSSCG00000006176	62	18	172	52	80	17	72	36	68	30	67	52
ENSSSCG00000006177	62	46	31	59	101	47	33	34	29	43	110	105
ENSSSCG00000006179	59	19	17	25	46	60	56	75	8	32	35	3
ENSSSCG00000006183	0	3	0	42	22	3	9	41	0	2	0	3
ENSSSCG00000006184	55	11	111	20	98	16	14	42	7	14	90	28
ENSSSCG00000006185	11	25	2	0	0	0	10	13	2	29	3	0
ENSSSCG00000006186	5	0	0	0	0	4	5	0	13	1	0	0
ENSSSCG00000006187	37	26	1	32	73	2	19	59	1	5	5	3
ENSSSCG00000006191	0	0	0	0	0	0	6	0	0	2	0	0
ENSSSCG00000006192	6	19	42	0	15	0	14	44	2	1	17	16
ENSSSCG00000006193	197	92	149	335	136	110	33	153	26	10	81	37
ENSSSCG00000006194	383	208	391	332	657	87	182	299	163	99	732	622
ENSSSCG00000006195	2	0	0	0	1	0	0	0	0	14	0	1
ENSSSCG00000006196	17	25	8	0	1	5	24	0	1	8	1	3
ENSSSCG00000006197	246	299	151	203	185	253	75	226	123	146	573	795
ENSSSCG00000006199	84	49	228	53	32	35	23	38	69	102	344	114
ENSSSCG00000006200	0	1	14	0	0	0	43	0	10	20	0	0
ENSSSCG00000006201	427	231	424	520	529	193	86	175	43	78	302	170
ENSSSCG00000006202	212	90	292	136	281	75	120	174	81	70	258	392
ENSSSCG00000006203	8	18	14	25	55	3	60	33	0	21	21	70
ENSSSCG00000006204	0	0	0	0	0	0	0	0	0	4	8	0
ENSSSCG00000006205	25	0	0	8	0	0	0	0	0	0	6	0
ENSSSCG00000006206	48	8	15	47	43	0	12	57	0	20	35	20
ENSSSCG00000006209	99	32	9	118	244	23	76	137	85	51	126	246
ENSSSCG00000006213	0	0	23	5	21	31	1	21	9	31	6	0
ENSSSCG00000006214	14	17	115	7	32	35	9	24	16	15	38	6
ENSSSCG00000006215	0	16	0	0	0	0	15	13	0	23	0	0
ENSSSCG00000006216	8	7	10	0	0	0	0	0	0	2	25	10
ENSSSCG00000006217	4	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000006218	254	200	360	20	79	24	25	50	1	13	88	40
ENSSSCG00000006219	33	44	18	36	17	20	3	87	0	10	41	3
ENSSSCG00000006220	43	43	2	46	66	11	21	72	10	11	39	33
ENSSSCG00000006230	26	0	10	0	0	0	7	23	0	0	0	0
ENSSSCG00000006231	541	447	538	349	675	444	316	519	402	259	964	944
ENSSSCG00000006232	78	18	57	34	98	0	5	104	4	5	56	82
ENSSSCG00000006233	32	24	67	3	22	32	10	1	3	14	95	51
ENSSSCG00000006235	36	3	3	22	60	3	58	31	26	24	39	29
ENSSSCG00000006236	208	117	95	137	178	20	57	262	84	46	140	80
ENSSSCG00000006237	202	101	102	126	149	69	28	178	38	28	286	276
ENSSSCG00000006238	0	0	0	0	0	0	8	0	142	98	425	501
ENSSSCG00000006239	35	39	77	24	26	19	46	91	26	15	21	0
ENSSSCG00000006240	23	7	85	47	40	37	10	43	16	3	3	0
ENSSSCG00000006243	8	0	0	0	4	0	0	3	0	1	0	0
ENSSSCG00000006245	0	0	0	0	0	0	0	0	0	3	3	0
ENSSSCG00000006247	22	1	31	0	25	44	4	35	0	9	25	1
ENSSSCG00000006248	0	0	0	0	0	0	0	0	0	4	0	0
ENSSSCG00000006250	124	148	395	164	289	89	101	322	106	104	366	304
ENSSSCG00000006251	144	34	161	145	105	24	110	100	91	53	183	140
ENSSSCG00000006252	71	6	21	7	87	13	7	59	10	13	62	2
ENSSSCG00000006256	13	8	7	0	5	1	20	0	46	21	44	26
ENSSSCG00000006260	61	0	36	49	60	8	3	56	21	12	60	40
ENSSSCG00000006261	181	107	124	166	322	257	58	340	63	79	175	153
ENSSSCG00000006262	0	26	9	0	0	0	2	0	0	14	0	0
ENSSSCG00000006263	47	31	89	49	65	71	28	27	21	17	171	90
ENSSSCG00000006264	1	0	0	34	21	0	4	0	0	10	0	0
ENSSSCG00000006266	0	31	14	7	5	0	31	35	1	40	7	0
ENSSSCG00000006267	227	154	289	182	309	249	64	147	19	26	149	193
ENSSSCG00000006273	183	97	85	62	98	53	80	222	31	30	80	132
ENSSSCG00000006274	521	179	500	371	622	322	242	502	137	150	642	886
ENSSSCG00000006277	88	203	145	56	75	1	32	99	59	14	95	94
ENSSSCG00000006280	51	41	26	78	120	40	40	117	0	4	10	13
ENSSSCG00000006281	0	0	0	0	0	0	0	5	0	7	0	0
ENSSSCG00000006282	59	3	4	112	131	38	30	15	1	27	23	7
ENSSSCG00000006283	144	80	271	122	213	116	41	51	55	16	79	107
ENSSSCG00000006284	43	8	15	10	41	5	4	71	3	12	14	0
ENSSSCG00000006285	6	0	0	0	25	0	0	0	3	3	2	0
ENSSSCG00000006286	4	0	74	0	15	29	11	21	0	2	2	8
ENSSSCG00000006287	4	20	41	17	59	0	16	7	2	31	18	10
ENSSSCG00000006288	27	0	56	42	34	0	9	21	1	23	4	0
ENSSSCG00000006289	20	4	9	23	160	135	4	7	25	22	0	0
ENSSSCG00000006290	9	11	5	10	9	5	8	0	28	19	42	55
ENSSSCG00000006294	46	4	77	1	16	0	27	33	9	1	1	12
ENSSSCG00000006296	268	116	488	121	162	169	49	118	192	74	680	441
ENSSSCG00000006298	5	0	22	0	0	0	1	0	0	13	1	0
ENSSSCG00000006299	3	0	0	0	0	0	0	0	5	1	0	0
ENSSSCG00000006301	31	1	19	37	17	0	22	47	2	16	5	18
ENSSSCG00000006302	62	29	3	112	49	6	19	11	25	7	21	0
ENSSSCG00000006303	200	79	164	139	479	146	135	164	40	72	307	93
ENSSSCG00000006304	2	2	0	20	52	17	35	10	3	14	7	9
ENSSSCG00000006305	13	0	7	0	0	0	38	8	0	12	3	0
ENSSSCG00000006306	89	1	101	57	73	44	12	172	6	5	59	9
ENSSSCG00000006307	310	109	109	215	460	274	99	147	209	125	448	382
ENSSSCG00000006308	2	13	45	37	32	23	11	21	0	4	30	17
ENSSSCG00000006309	40	44	18	32	35	20	5	66	22	12	21	16
ENSSSCG00000006310	45	38	55	173	93	22	31	110	6	37	105	39
ENSSSCG00000006311	9	35	8	0	0	0	34	0	13	12	10	4
ENSSSCG00000006312	10	38	60	5	0	9	24	10	0	10	0	3
ENSSSCG00000006316	0	23	0	0	0	0	0	0	14	9	0	0
ENSSSCG00000006318	52	19	29	30	25	0	8	18	6	18	33	40
ENSSSCG00000006319	89	72	94	97	59	36	10	37	36	22	155	69
ENSSSCG00000006320	7	21	0	0	0	2	13	0	0	0	2	0
ENSSSCG00000006321	8	0	3	9	2	0	24	0	0	8	15	0
ENSSSCG00000006324	90	45	54	103	80	44	23	70	18	11	91	60
ENSSSCG00000006325	5	8	29	16	5	5	65	2	0	5	3	0
ENSSSCG00000006328	0	14	8	0	0	0	13	0	4	26	60	11
ENSSSCG00000006329	6	11	0	0	0	0	21	0	0	6	3	0
ENSSSCG00000006331	301	141	229	257	191	114	64	175	28	60	135	58
ENSSSCG00000006333	51	8	4	16	50	0	26	56	0	7	29	17
ENSSSCG00000006335	15	48	51	34	23	22	0	332	0	7	32	30
ENSSSCG00000006336	0	3	0	0	0	0	0	0	12	2	6	24
ENSSSCG00000006337	3	3	4	1	2	0	0	28	0	0	12	6
ENSSSCG00000006338	76	26	25	102	171	38	109	76	19	57	23	2
ENSSSCG00000006340	158	58	175	166	295	80	49	252	33	50	223	143
ENSSSCG00000006342	125	48	95	98	102	33	2	155	53	13	147	113
ENSSSCG00000006343	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000006344	34	119	62	90	209	161	101	59	37	32	65	31
ENSSSCG00000006345	121	26	26	206	253	207	96	232	2	11	7	0
ENSSSCG00000006346	116	136	138	162	223	94	114	312	14	25	114	126
ENSSSCG00000006347	17	2	4	0	0	0	0	0	3	7	4	0
ENSSSCG00000006348	0	1	0	7	0	0	38	0	0	4	0	0
ENSSSCG00000006350	37	63	3	129	140	50	104	155	27	34	54	144
ENSSSCG00000006352	1	0	0	24	0	0	11	0	0	0	0	0
ENSSSCG00000006353	6	29	9	2	6	0	35	0	12	14	0	0
ENSSSCG00000006354	49	22	55	32	60	63	6	24	24	21	73	88
ENSSSCG00000006355	4	0	0	0	0	0	0	0	0	0	11	0
ENSSSCG00000006357	12	0	10	52	86	0	15	30	12	7	70	52
ENSSSCG00000006358	114	173	134	166	201	87	56	174	33	32	101	84
ENSSSCG00000006359	30	9	98	21	3	4	9	12	3	15	11	0
ENSSSCG00000006360	150	144	153	105	174	93	24	168	5	26	75	25
ENSSSCG00000006361	72	54	21	40	115	28	31	79	1	2	43	6
ENSSSCG00000006362	16	0	0	6	1	0	0	18	0	4	8	9
ENSSSCG00000006363	45	8	42	33	53	67	10	20	41	8	3	54
ENSSSCG00000006365	15	22	26	8	87	28	0	0	14	5	47	11
ENSSSCG00000006366	62	5	61	46	29	34	19	24	6	9	18	7
ENSSSCG00000006369	153	130	211	96	57	64	40	98	22	8	99	65
ENSSSCG00000006370	14	12	0	0	29	6	0	30	0	15	9	0
ENSSSCG00000006371	239	181	84	188	364	107	52	196	84	100	359	378
ENSSSCG00000006372	228	279	213	264	648	174	209	287	459	197	845	1195
ENSSSCG00000006374	7	37	6	0	27	49	1	6	4	14	76	63
ENSSSCG00000006375	89	38	102	123	283	6	86	169	35	30	64	25
ENSSSCG00000006376	18	24	61	18	109	55	25	49	0	10	2	12
ENSSSCG00000006378	221	46	105	174	194	126	37	101	9	21	2	22
ENSSSCG00000006379	42	25	0	52	103	15	6	86	11	14	86	75
ENSSSCG00000006380	0	13	47	10	34	24	24	13	3	6	2	3
ENSSSCG00000006381	93	55	87	37	198	22	88	80	74	58	292	452
ENSSSCG00000006382	48	54	28	73	146	23	8	147	12	18	85	219
ENSSSCG00000006383	47	50	15	46	38	5	32	54	14	5	30	12
ENSSSCG00000006384	0	0	0	0	0	0	0	0	0	5	0	0
ENSSSCG00000006385	354	174	164	387	258	140	52	155	113	28	190	255
