Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000015543	13.680538502838	-1.92099557175266	0.637557862930425	-3.01305290616781	0.00258633824262063	0.00956903186466617	8.75430944761922	7.73605654548468	19.7557498042701	14.8803382584521	16.4374407825029	19.3341402864194	13.7907455573064	34.5310911414365	0.95452049037601	5.3014864402971	2.99854134306764	12.134142179212
ENSSSCG00000015544	12.1399512368146	1.02833292619731	0.402205433407939	2.55673554055227	0.0105659511553571	0.0324521124755154	5.57092419393951	18.0507986061309	10.3482498974748	12.1748222114608	4.79425356156336	18.1257565185182	5.17152958398992	5.39548299084945	8.59068441338409	24.3868376253667	25.9873583065862	19.8558690205288
ENSSSCG00000015549	74.5744440593195	1.15607880007318	0.285833177693137	4.04459275652849	5.24141538715275e-05	0.000301399742198195	17.5086188952384	108.304791636786	37.6299996271811	97.3985776916863	26.0259479056296	101.504236503702	23.2718831279546	89.5650176481009	89.7249260953449	148.441620328319	140.931443124179	123.547629461068
ENSSSCG00000015550	185.071755593767	-2.61295922398193	0.472681586051381	-5.52794799097145	3.23998063378065e-08	3.55343184636e-07	195.778193101303	166.325215727921	500.478995041509	396.358100884224	76.0231636190761	114.796457950615	182.72737863431	437.034122258805	35.3172581439124	34.9898105059609	36.9820098978342	73.9079569097461
ENSSSCG00000015555	572.067417168242	-2.36646963910092	0.624849788946182	-3.78726164426174	0.000152316684272738	0.000781498827832352	213.286811996541	743.95077112411	913.468240949822	1716.64993181597	183.551422071283	623.526024237026	488.709545687047	2361.06335679572	40.0898605957924	200.39618744323	27.9863858686313	433.519806948212
ENSSSCG00000015556	448.532473062931	-7.13882754487369	0.647353147057564	-11.0277173708385	2.80904276237149e-28	4.08865139093264e-26	222.83696775758	355.858601092295	1216.38973794863	926.639246094516	306.832227940055	250.135439955551	1042.9251327713	800.689675842058	1.90904098075202	6.36178372835652	1.99902756204509	11.0310383447382
ENSSSCG00000015560	4685.65062044889	1.29444931937143	0.350251613491115	3.69576975383233	0.000219221578958615	0.00107736696958038	4383.52149431697	5023.27938353472	2151.49522868408	4980.85504251096	1989.61522804879	3333.93081563945	1566.97346394894	1778.35119378398	6760.86863333328	9730.3482125213	7380.40975907048	9135.9059571122
ENSSSCG00000015563	1179.99743230108	-1.27661923654768	0.305514557333068	-4.17858725846548	2.93325456612736e-05	0.000178156802191867	1244.70363418877	2750.1681019198	1211.68598799523	1332.46665314321	858.171387519841	2854.20245978267	1132.56497889379	829.825283992645	432.397782140332	847.177533159477	634.691250949317	679.511962035875
ENSSSCG00000015565	240.051311519748	-4.46807998561336	0.558613995204517	-7.99851064235784	1.25933139850009e-15	4.58249260486123e-14	680.44859797404	281.07672115261	230.483747716484	633.090754995961	184.921208803158	253.760591259255	137.045533975733	250.350410775414	5.72712294225606	26.5074322014855	8.99562402920292	29.7838035307932
ENSSSCG00000015569	85.6755652652587	-1.01202888685097	0.18207082786756	-5.55843513595227	2.72204079463484e-08	3.0332107575562e-07	77.9929387151531	167.614558485501	78.0822492264008	225.910589923772	43.8331754200078	126.880295629627	73.2633357731905	127.333398584047	40.0898605957924	62.5575399955058	50.9752028321499	65.0831262339555
ENSSSCG00000015581	117.578971915877	1.77621372624145	0.449772717487375	3.94913621298363	7.84337123907715e-05	0.000431553640588688	29.4463135965374	103.147420606462	104.423248965428	170.447510960451	13.6978673187524	35.0431292691352	49.1295310479042	93.8814040407804	103.088212960609	329.75245658648	123.939708846796	439.035326120581
ENSSSCG00000015582	63.6043756846891	-1.79288330672955	0.643432584970765	-2.78643536029655	0.00532912453448471	0.0179795533160003	11.141848387879	56.7310813335543	101.600998993389	186.680607242399	15.7525474165653	94.2539338962946	93.0875325118185	203.949257054109	15.2723278460162	32.869215929842	2.99854134306764	57.3613993926388
ENSSSCG00000015588	292.404896935201	-1.63843720715255	0.227115519982375	-7.21411380111629	5.42863431239441e-13	1.3200457582141e-11	320.726064308232	587.940297456836	349.018246542105	675.026253724326	213.686730172538	526.855322804929	243.923812044858	297.83066109489	92.588487566473	97.5473505014666	166.918801430765	157.743848329757
ENSSSCG00000015589	329.636578603375	-4.3198604753409	0.587319504190316	-7.35521372016463	1.90621877199513e-13	4.91473968061005e-12	965.361578178375	477.056820304889	497.65674506947	336.836747850415	223.960130661602	466.436134409868	262.886087186154	175.892745501692	12.4087663748881	23.3265403373072	12.9936791532931	59.5676070615864
ENSSSCG00000015595	1746.38827763922	-1.49800672653122	0.448533295751872	-3.33978935503579	0.00083841957540881	0.00355808208149607	744.116303047634	2253.7711402512	3531.57546501095	2411.96755589273	610.239989050422	2546.06459896786	3699.36749574745	2260.70737316592	1219.87718670054	697.675615543098	737.641170394639	552.655021071385
ENSSSCG00000015600	46.3167591807982	1.42158392814482	0.519899095421875	2.73434583876563	0.00625043564584334	0.020643336137696	12.7335410147189	51.5737103032312	53.6227494687331	50.0520468693388	4.10936019562573	21.7509078222218	43.9580014639143	18.3446421688881	34.3627376535364	79.5222966044565	60.9703406423753	180.909028853707
ENSSSCG00000015612	307.93247062538	-7.03978342712605	0.748339839495691	-9.40720118799258	5.09523475995116e-21	3.7213346255686e-19	138.477258535068	326.203717667937	501.419745032188	1090.32296693749	192.455035828472	270.677964009872	512.843350412333	952.842296184013	0	0	0.999513781022547	15.4434536826335
ENSSSCG00000015616	81.0201621410065	-1.45297040399255	0.515288351390796	-2.81972297660308	0.00480651242966473	0.0164653738264078	29.4463135965374	72.2031944245237	65.8524993475669	202.913703524347	39.7238152243821	109.96292287901	105.154434874462	285.960598515021	13.3632868652641	58.3163508432681	18.9907618394284	78.3203722476414
ENSSSCG00000015617	248.85044921885	-3.3717357779222	0.711382569031863	-4.73969411776686	2.14041091985708e-06	1.64031565751408e-05	685.223675854559	327.493060425518	301.980747008128	171.800268983947	297.243720816928	188.507867792589	220.651928916903	87.4068244517611	14.3178073556401	101.788539653704	12.9936791532931	22.0620766894765
ENSSSCG00000015618	319.533719437452	-5.64625001936099	0.818393569768834	-6.89918668466059	5.23011037031411e-12	1.0908288122963e-10	222.04112144416	146.985074364209	900.297741080308	569.511127891666	253.41054539692	97.8790851999983	655.060413972056	629.113316733046	0	8.48237830447536	1.99902756204509	34.1962188686885
