	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000001989	150	86	51	111	82	58	38	56	50	69	44	34
ENSSSCG00000001990	103	178	94	173	52	155	56	91	253	244	202	297
ENSSSCG00000001991	446	368	268	370	212	299	180	264	655	578	491	560
ENSSSCG00000001992	1	0	0	1	0	0	0	0	0	0	1	0
ENSSSCG00000001993	32	36	32	39	11	30	9	43	8	64	9	29
ENSSSCG00000001994	348	472	247	572	184	422	221	325	329	412	344	271
ENSSSCG00000002000	404	770	411	848	437	760	528	813	617	832	834	908
ENSSSCG00000002001	54	177	80	222	26	140	73	145	74	50	58	104
ENSSSCG00000002002	14	38	27	46	8	20	44	24	17	12	22	27
ENSSSCG00000002003	183	358	202	325	161	375	163	314	258	264	334	272
ENSSSCG00000002004	600	893	678	553	482	827	617	456	1189	1667	1275	1539
ENSSSCG00000002005	8	41	31	31	22	38	35	32	48	57	59	57
ENSSSCG00000002006	8	10	8	12	6	8	9	5	24	9	10	17
ENSSSCG00000002007	1	2	1	1	0	4	1	0	5	2	0	4
ENSSSCG00000002008	441	627	326	601	377	586	387	349	734	638	777	621
ENSSSCG00000002009	623	393	284	334	312	432	226	275	2235	2489	1620	2246
ENSSSCG00000002010	0	0	0	0	0	0	0	0	4	0	0	6
ENSSSCG00000002011	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002012	2	5	11	3	0	3	5	0	0	9	0	4
ENSSSCG00000002013	69	92	106	112	40	135	73	151	151	148	149	176
ENSSSCG00000002014	1	3	7	3	0	2	10	9	119	50	202	84
ENSSSCG00000002015	1	5	2	4	0	2	1	2	1	3	5	0
ENSSSCG00000002016	16	61	32	59	7	63	24	47	88	146	99	137
ENSSSCG00000002020	79	213	149	236	83	162	151	211	162	151	142	144
ENSSSCG00000002023	1547	1636	1408	1664	1115	1549	1416	1397	1630	1220	1358	1639
ENSSSCG00000002025	311	229	195	280	187	152	151	221	14	45	23	62
ENSSSCG00000002026	24	56	72	107	14	49	85	157	0	4	4	6
ENSSSCG00000002028	0	2	7	3	0	0	11	0	0	0	0	0
ENSSSCG00000002029	0	2	8	0	0	5	1	0	0	1	0	0
ENSSSCG00000002032	89	285	156	76	431	690	297	259	10	21	2	23
ENSSSCG00000002033	0	3	1	1	0	4	0	0	0	0	3	1
ENSSSCG00000002034	2198	2378	2054	2590	1492	1927	1832	1862	1684	1553	1727	1583
ENSSSCG00000002035	321	226	156	280	245	223	160	148	84	114	120	93
ENSSSCG00000002036	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002037	28	44	65	35	20	87	96	95	368	76	418	117
ENSSSCG00000002038	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002039	13705	7773	8438	6842	13384	12147	8764	6448	7457	6367	5744	4682
ENSSSCG00000002040	140	159	107	142	80	108	141	66	136	118	113	96
ENSSSCG00000002041	1156	1317	785	1027	821	1535	780	557	3228	3898	3941	3258
ENSSSCG00000002042	507	648	376	615	318	487	388	499	659	687	725	700
ENSSSCG00000002045	23	38	19	17	5	38	19	24	11	25	20	19
ENSSSCG00000002050	172	317	196	380	186	331	199	308	366	393	403	379
ENSSSCG00000002051	43	64	50	101	49	44	58	80	349	143	383	105
ENSSSCG00000002052	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002062	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002071	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002077	0	0	0	1	0	2	0	6	0	0	0	4
ENSSSCG00000002078	0	0	0	0	0	0	0	0	0	1	0	1
ENSSSCG00000002081	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002084	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002097	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002099	0	0	0	0	1	0	0	0	0	1	0	6
ENSSSCG00000002105	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002106	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002127	714	1364	637	1420	634	1504	515	975	567	683	639	710
ENSSSCG00000002129	10	18	19	2	6	15	27	10	8	6	4	0
ENSSSCG00000002130	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002131	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002134	6	1	0	1	3	0	2	0	19	0	52	0
ENSSSCG00000002135	893	230	463	718	197	108	405	497	1455	288	2300	433
ENSSSCG00000002138	46	122	90	133	56	115	70	98	191	180	125	231
ENSSSCG00000002140	0	3	6	3	0	3	0	0	1	1	2	8
ENSSSCG00000002142	510	688	677	429	577	808	697	408	1091	1107	1073	1428
ENSSSCG00000002143	41	101	99	74	52	110	63	83	106	152	184	194
ENSSSCG00000002144	62	104	125	122	57	125	83	88	77	94	90	99
ENSSSCG00000002145	12	23	13	31	16	23	15	10	33	15	44	19
ENSSSCG00000002148	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002170	0	1	0	0	0	0	0	0	1	0	0	0
ENSSSCG00000002175	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002187	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002188	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002190	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002191	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002202	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002235	20	42	35	55	14	35	52	48	26	35	26	32
ENSSSCG00000002241	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002243	274	468	382	503	214	390	258	356	484	551	548	646
ENSSSCG00000002245	92	171	106	233	107	164	91	188	105	107	127	116
ENSSSCG00000002251	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002252	900	1243	673	1405	551	827	535	820	1401	1678	1124	1529
ENSSSCG00000002254	13	42	167	92	16	45	79	178	4	10	2	31
ENSSSCG00000002257	77	143	152	320	103	78	177	266	1520	979	1001	1032
ENSSSCG00000002258	6	12	5	4	0	12	6	9	2	8	6	10
ENSSSCG00000002259	1878	1844	1495	2361	742	1594	1035	1441	2660	1719	1997	1545
ENSSSCG00000002260	11	5	15	15	13	10	20	17	33	20	19	18
ENSSSCG00000002262	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002263	70	144	117	58	65	103	83	49	63	40	75	56
ENSSSCG00000002265	6	32	14	102	15	35	60	167	0	2	0	4
ENSSSCG00000002266	2141	2467	2109	2823	1174	1923	1799	1875	1752	1565	1104	1656
ENSSSCG00000002267	10	26	29	42	15	41	49	98	0	1	0	9
ENSSSCG00000002268	288	152	264	49	181	246	236	38	47	110	72	97
ENSSSCG00000002269	134	195	333	189	153	197	328	207	538	578	868	829
ENSSSCG00000002270	0	0	0	0	0	0	3	1	1	0	1	0
ENSSSCG00000002274	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002275	2	2	6	3	2	0	3	12	29	2	20	1
ENSSSCG00000002276	380	513	864	655	433	583	816	770	245	159	245	218
ENSSSCG00000002277	7	9	15	18	25	13	13	28	0	0	1	2
ENSSSCG00000002279	52	107	321	190	101	46	169	111	1	0	1	0
ENSSSCG00000002280	10	70	14	149	22	57	70	190	2	3	4	8
ENSSSCG00000002281	49	79	55	96	38	126	80	77	137	92	153	101
ENSSSCG00000002283	362	191	170	299	149	182	158	168	319	371	457	262
ENSSSCG00000002284	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002285	74	104	99	103	46	122	81	91	177	171	210	122
ENSSSCG00000002286	0	0	0	1	0	0	1	0	0	2	0	0
ENSSSCG00000002287	161	302	177	471	116	268	294	559	251	267	299	283
ENSSSCG00000002290	33	30	86	63	46	10	81	35	2	0	1	0
ENSSSCG00000002292	21	160	54	203	24	110	116	185	1296	384	1047	377
ENSSSCG00000002294	347	145	106	341	70	56	120	201	599	471	300	512
ENSSSCG00000002295	301	425	325	419	413	397	362	372	260	223	285	310
ENSSSCG00000002296	400	402	218	381	371	328	260	222	161	286	126	133
ENSSSCG00000002297	0	0	0	0	2	0	0	3	0	0	0	0
ENSSSCG00000002298	1648	1308	1111	939	1302	1197	867	730	1072	777	779	1022
ENSSSCG00000002305	19	22	23	46	21	43	39	37	61	58	62	67
ENSSSCG00000002306	8	23	76	41	4	39	49	112	2	1	0	11
ENSSSCG00000002307	108	231	136	225	138	256	115	211	398	561	438	544
ENSSSCG00000002309	3	35	8	73	8	18	33	85	0	0	0	1
ENSSSCG00000002310	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002311	1189	1010	711	813	795	1186	804	729	1125	964	844	892
ENSSSCG00000002313	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002314	6	3	60	5	4	4	17	15	0	4	1	6
ENSSSCG00000002315	1	0	3	2	0	9	4	0	0	0	0	0
ENSSSCG00000002316	2	9	2	6	2	16	1	6	4	9	4	4
ENSSSCG00000002321	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002322	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002329	447	194	194	376	113	71	117	122	7	90	15	99
ENSSSCG00000002330	5947	3921	2890	3914	1730	1960	1638	1473	379	713	401	717
ENSSSCG00000002332	311	427	261	624	82	167	164	303	144	260	146	197
ENSSSCG00000002333	4	10	13	9	0	8	23	4	7	11	11	10
ENSSSCG00000002337	428	394	349	451	333	378	330	417	277	228	218	234
ENSSSCG00000002340	1209	1652	858	1761	1321	1408	690	1241	1206	1189	1190	980
ENSSSCG00000002341	9	14	33	69	1	14	21	107	6	34	9	28
ENSSSCG00000002344	40	49	36	79	20	44	58	61	29	86	73	68
ENSSSCG00000002348	1	4	3	5	0	0	1	13	6	2	14	7
ENSSSCG00000002349	91	87	56	131	56	140	59	209	391	377	534	518
ENSSSCG00000002350	159	528	393	481	215	763	447	611	198	268	267	319
ENSSSCG00000002351	6	15	12	14	10	19	16	23	8	4	1	9
ENSSSCG00000002352	186	249	131	301	126	211	119	235	174	198	178	190
ENSSSCG00000002353	0	2	3	9	1	11	6	17	7	4	10	2
ENSSSCG00000002354	3	7	9	6	3	9	2	14	7	9	10	10
ENSSSCG00000002355	23	38	34	31	36	44	29	56	101	102	222	169
ENSSSCG00000002356	1	1	0	1	0	1	0	9	1	0	0	0
ENSSSCG00000002357	14	96	56	105	27	91	106	77	57	66	103	82
ENSSSCG00000002361	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002363	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002366	6084	6900	5038	4015	7863	10455	4809	4793	2655	3361	2333	2943
ENSSSCG00000002367	33	44	24	34	34	10	29	28	71	59	44	32
ENSSSCG00000002368	27	162	139	177	31	149	142	315	24	65	34	400
ENSSSCG00000002370	304	423	165	504	199	372	128	333	167	250	171	177
ENSSSCG00000002372	290	473	254	572	256	547	214	430	225	239	316	298
ENSSSCG00000002373	0	1	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002374	947	1177	783	1219	752	961	787	919	1092	1265	1266	1243
ENSSSCG00000002375	36	13	22	39	25	19	16	51	57	80	33	65
ENSSSCG00000002377	63	191	100	210	54	156	71	186	169	189	196	195
ENSSSCG00000002378	46	78	42	57	52	147	72	86	50	41	45	60
ENSSSCG00000002379	4	11	3	7	1	12	12	5	20	2	6	8
ENSSSCG00000002380	0	0	0	2	0	0	0	0	0	1	1	0
ENSSSCG00000002381	692	1133	699	867	572	1000	612	583	1193	1028	1317	1381
ENSSSCG00000002383	4275	8124	11570	6128	3674	9377	10682	5542	4013	1328	6161	2335
ENSSSCG00000002385	35	101	211	138	32	152	122	241	12	57	11	140
ENSSSCG00000002386	19	21	33	31	17	54	26	22	22	24	18	25
ENSSSCG00000002387	80	71	59	51	35	53	54	46	75	55	57	55
ENSSSCG00000002388	0	0	0	0	0	0	0	0	0	0	0	1
ENSSSCG00000002389	824	1119	581	727	411	679	333	338	249	298	181	269
ENSSSCG00000002390	38	84	58	56	29	149	66	30	51	60	62	83
ENSSSCG00000002391	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002392	363	358	397	304	264	400	343	323	390	327	292	266
ENSSSCG00000002396	23	70	35	75	42	77	41	60	45	56	60	65
ENSSSCG00000002397	75	91	75	104	64	95	70	119	75	68	76	71
ENSSSCG00000002398	2	4	9	8	11	0	6	4	0	0	0	0
ENSSSCG00000002399	0	0	0	0	0	0	0	0	0	0	0	2
ENSSSCG00000002400	0	0	0	0	0	0	0	8	0	0	0	0
ENSSSCG00000002403	38	54	41	32	36	50	21	33	36	36	29	16
ENSSSCG00000002404	317	627	571	1101	325	511	444	953	729	748	1021	754
ENSSSCG00000002405	1	0	2	0	0	10	0	0	0	0	0	0
ENSSSCG00000002406	363	476	398	532	264	396	336	459	1205	916	733	686
ENSSSCG00000002408	9	16	9	38	11	13	26	16	178	145	222	120
ENSSSCG00000002410	31	50	76	39	29	47	33	8	36	38	42	59
ENSSSCG00000002411	232	291	170	319	214	249	75	184	192	227	324	198
ENSSSCG00000002412	51	73	118	92	22	41	76	52	12	99	15	23
ENSSSCG00000002414	1431	1676	877	1714	1181	1743	817	1478	1308	1999	1688	1631
ENSSSCG00000002423	0	1	0	0	0	0	3	0	0	0	0	0
ENSSSCG00000002424	14	31	29	21	11	30	23	17	3	6	14	15
ENSSSCG00000002425	36	73	92	136	46	129	85	182	116	68	59	52
ENSSSCG00000002426	608	900	542	1036	493	833	511	726	657	715	800	593
ENSSSCG00000002427	2	9	18	10	1	7	27	31	122	75	7	65
ENSSSCG00000002428	1	2	18	9	10	4	4	6	34	28	5	10
ENSSSCG00000002429	538	466	269	731	212	232	169	262	339	354	190	491
ENSSSCG00000002430	13	32	9	25	19	28	23	8	17	15	17	26
ENSSSCG00000002431	15	17	23	18	6	13	24	15	20	34	20	22
ENSSSCG00000002432	78	112	66	77	124	118	53	71	10	20	1	13
ENSSSCG00000002433	487	835	419	887	391	746	427	634	999	1019	948	923
ENSSSCG00000002434	123	192	91	255	91	171	98	163	110	125	115	91
ENSSSCG00000002436	96	136	159	135	133	195	173	146	175	161	177	212
ENSSSCG00000002438	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002440	66	312	157	337	89	360	216	345	195	165	112	215
ENSSSCG00000002441	1349	2034	1793	2027	1126	1808	1848	1590	1546	1557	1095	1499
ENSSSCG00000002442	0	2	0	6	0	0	11	25	0	0	0	0
ENSSSCG00000002443	36	135	120	419	71	80	314	581	2	8	0	21
ENSSSCG00000002444	5	33	38	54	3	50	41	43	5	31	10	105
ENSSSCG00000002445	266	396	280	481	276	506	313	522	257	278	216	226
ENSSSCG00000002446	467	795	386	680	337	603	303	469	380	415	332	463
ENSSSCG00000002447	204	318	205	336	223	251	175	207	452	520	485	478
ENSSSCG00000002449	40	60	36	53	38	79	38	74	64	76	75	67
ENSSSCG00000002450	27	47	47	19	44	99	74	19	10	17	7	12
ENSSSCG00000002451	1743	1274	1339	1297	1422	1249	1298	824	1820	1472	1457	1811
ENSSSCG00000002452	26930	40194	20749	26921	46388	76093	27896	33060	26691	34250	24497	44657
ENSSSCG00000002455	489	737	373	691	371	607	310	457	665	666	677	611
ENSSSCG00000002456	1	2	21	1	1	3	4	5	0	1	0	0
ENSSSCG00000002457	123	203	159	298	101	127	106	186	289	326	265	243
ENSSSCG00000002458	248	356	172	340	226	331	192	268	354	320	217	244
ENSSSCG00000002459	53	61	59	82	50	73	38	71	89	116	103	98
ENSSSCG00000002460	100	286	145	255	115	365	107	209	166	277	248	285
ENSSSCG00000002461	333	499	295	593	222	396	209	368	210	266	267	256
ENSSSCG00000002462	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002464	0	0	5	0	0	1	3	0	1	3	1	0
ENSSSCG00000002467	4	3	59	15	2	15	8	13	1	1	0	8
ENSSSCG00000002469	33	10	14	45	26	9	5	40	8	12	2	4
ENSSSCG00000002470	287	485	307	662	257	530	279	712	352	298	392	335
ENSSSCG00000002474	3	30	21	28	10	9	14	18	0	0	0	0
ENSSSCG00000002475	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000002476	1	7	1	28	0	4	2	25	0	0	0	0
ENSSSCG00000002478	0	0	0	0	0	0	0	0	25	0	30	0
ENSSSCG00000002479	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002481	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002483	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002486	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002490	2	5	9	4	0	15	8	15	0	0	0	0
ENSSSCG00000002494	5	29	30	38	3	29	22	59	0	3	2	9
ENSSSCG00000002495	1248	1826	524	1266	540	1088	337	448	563	436	442	798
ENSSSCG00000002496	116	122	68	110	135	161	84	112	106	101	88	93
ENSSSCG00000002497	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002498	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002501	5	10	15	17	8	1	16	26	12	36	8	48
ENSSSCG00000002502	279	445	285	427	240	468	250	383	232	259	192	263
ENSSSCG00000002504	12	8	4	2	12	12	16	0	4	7	4	1
ENSSSCG00000002505	941	1064	632	1436	597	962	582	929	916	1067	1033	1058
ENSSSCG00000002506	134	160	133	147	89	113	73	45	160	228	136	224
ENSSSCG00000002507	5	6	1	6	3	4	6	4	1	11	0	11
ENSSSCG00000002508	325	471	349	448	229	457	326	351	1008	962	1300	961
ENSSSCG00000002509	262	296	172	353	168	207	152	288	377	364	320	417
ENSSSCG00000002510	0	0	0	1	0	0	0	3	0	0	2	2
ENSSSCG00000002512	6	10	22	45	3	8	22	48	0	2	1	1
ENSSSCG00000002515	2	7	4	2	1	11	0	2	1	0	3	0
ENSSSCG00000002516	429	1203	462	721	366	912	495	623	670	1205	866	976
ENSSSCG00000002517	19	45	38	40	23	36	24	45	48	39	59	36
ENSSSCG00000002520	49	154	94	172	56	177	142	248	39	28	30	36
ENSSSCG00000002523	505	748	733	880	534	1006	743	1318	853	678	798	677
ENSSSCG00000002524	0	0	0	0	1	2	5	0	0	0	0	0
ENSSSCG00000002525	1377	1288	1388	1012	932	1193	1266	803	1060	770	511	604
ENSSSCG00000002526	714	714	577	990	391	382	478	549	457	274	397	295
ENSSSCG00000002528	80	94	34	68	85	116	30	81	148	75	87	113
ENSSSCG00000002529	7	70	10	63	2	50	3	46	6	47	10	49
ENSSSCG00000002530	76	156	94	140	59	131	54	134	151	125	114	158
ENSSSCG00000002531	14	15	13	34	2	7	16	26	1	3	1	3
ENSSSCG00000002532	16	21	10	35	12	30	23	25	30	21	36	22
ENSSSCG00000002533	82	105	88	147	39	93	85	106	80	79	54	82
ENSSSCG00000002535	10805	8314	12720	13390	8917	7511	12378	11045	44847	35582	19714	12678
ENSSSCG00000002536	2	1	6	0	2	0	0	0	0	2	0	0
ENSSSCG00000002540	561	704	470	782	375	578	408	589	807	627	846	772
ENSSSCG00000002544	1425	1221	885	1660	828	850	666	970	778	554	615	485
ENSSSCG00000002546	32	91	59	85	18	73	51	99	12	27	26	60
ENSSSCG00000002547	2564	2763	1833	3014	1605	2307	1545	1805	1842	2004	1756	2415
ENSSSCG00000002552	0	6	0	6	1	4	1	6	0	0	0	0
ENSSSCG00000002554	902	1774	1346	945	611	1302	950	142	1089	1939	1078	1511
ENSSSCG00000002555	18	29	44	61	12	22	36	102	2	9	4	7
ENSSSCG00000002557	47	75	61	53	61	112	71	40	103	66	75	100
ENSSSCG00000002558	49	105	228	327	86	123	232	401	124	26	131	76
ENSSSCG00000002559	21	32	37	43	18	36	28	59	40	48	29	94
ENSSSCG00000002573	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002585	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002589	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002594	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002600	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002601	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002608	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002610	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002613	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002620	0	1	2	1	1	3	18	1	1	5	0	7
ENSSSCG00000002622	46	91	46	79	50	144	56	69	32	57	54	77
ENSSSCG00000002623	1	17	6	10	5	15	37	23	0	0	0	0
ENSSSCG00000002627	17	51	55	71	13	49	52	38	1	13	2	7
ENSSSCG00000002628	37	227	114	209	85	197	110	231	41	82	77	71
ENSSSCG00000002629	86	293	153	237	85	269	127	220	146	166	180	207
ENSSSCG00000002632	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002633	27	71	61	81	14	65	63	48	51	31	52	36
ENSSSCG00000002635	6	10	22	46	6	25	17	76	0	2	11	6
ENSSSCG00000002637	0	2	2	2	2	4	0	9	0	0	0	0
ENSSSCG00000002639	0	2	0	1	0	1	0	16	1	2	0	2
ENSSSCG00000002640	164	672	284	495	131	547	315	413	291	333	231	325
ENSSSCG00000002642	1	0	1	0	0	0	0	0	0	0	0	0
ENSSSCG00000002645	308	446	377	363	390	444	290	337	362	508	476	495
ENSSSCG00000002646	160	294	184	299	136	299	231	217	305	310	337	354
ENSSSCG00000002648	10	32	21	26	11	44	40	26	14	8	30	18
ENSSSCG00000002650	62	155	103	129	78	166	61	93	147	149	177	208
ENSSSCG00000002651	18	32	33	41	15	28	31	22	24	53	48	91
ENSSSCG00000002652	321	608	393	575	246	613	420	589	359	289	345	362
ENSSSCG00000002653	0	0	0	0	0	0	0	0	1	0	0	0
ENSSSCG00000002654	72	199	144	185	87	185	116	178	114	97	115	138
ENSSSCG00000002655	596	809	444	912	570	801	498	957	1472	888	1248	1119
ENSSSCG00000002656	265	408	476	468	212	541	294	465	1115	950	534	948
ENSSSCG00000002657	0	0	0	1	0	0	0	0	0	0	0	4
ENSSSCG00000002658	1	2	3	1	0	0	7	2	1	0	0	0
ENSSSCG00000002660	44	122	107	71	66	161	120	92	69	86	66	75
ENSSSCG00000002664	716	1014	679	868	449	884	549	588	25	116	28	138
ENSSSCG00000002666	1236	974	393	1422	525	797	299	823	619	455	295	611
ENSSSCG00000002667	683	798	565	796	590	651	503	437	632	497	356	564
ENSSSCG00000002668	0	0	2	0	0	0	0	0	0	0	0	3
ENSSSCG00000002669	563	147	235	679	172	74	166	734	11	181	21	156
ENSSSCG00000002670	265	309	265	486	192	281	289	426	686	769	592	876
ENSSSCG00000002671	7	110	37	232	18	93	139	262	2	0	0	4
ENSSSCG00000002672	42	51	50	70	29	48	66	63	12	28	29	39
ENSSSCG00000002675	0	2	1	1	2	0	4	0	0	2	0	0
ENSSSCG00000002680	100	179	155	191	72	147	104	182	95	90	90	107
ENSSSCG00000002681	137	346	138	216	154	363	125	215	106	132	86	152
ENSSSCG00000002682	318	568	412	672	338	594	366	619	413	502	398	610
ENSSSCG00000002684	34	82	141	234	56	116	118	478	10	32	2	42
ENSSSCG00000002688	1092	1322	967	1228	736	1192	745	662	406	801	318	601
ENSSSCG00000002689	3507	1765	1629	2543	1697	1116	1117	1130	844	804	687	913
ENSSSCG00000002690	83	121	193	243	94	147	281	288	72	50	50	87
ENSSSCG00000002696	0	1	0	0	0	2	0	2	0	0	0	0
ENSSSCG00000002697	25	44	17	21	14	35	22	16	92	103	115	35
ENSSSCG00000002700	0	1	2	2	2	0	0	0	2	0	1	5
ENSSSCG00000002701	188	330	167	393	125	269	91	279	234	292	314	249
ENSSSCG00000002703	373	582	306	555	297	446	257	420	359	466	351	453
ENSSSCG00000002704	1542	3030	1884	2460	948	2313	1407	1785	1513	2151	1588	2367
ENSSSCG00000002706	6	6	10	11	4	17	18	5	7	12	9	9
ENSSSCG00000002707	877	567	493	663	506	554	406	422	529	527	474	449
ENSSSCG00000002708	35	19	17	31	22	19	18	26	13	8	28	16
ENSSSCG00000002709	2	1	7	5	3	1	3	22	0	2	0	6
ENSSSCG00000002712	134	92	146	157	102	123	123	136	33	12	82	19
ENSSSCG00000002714	65	72	101	101	59	78	91	115	62	38	87	57
ENSSSCG00000002715	128	287	140	227	119	268	193	218	244	375	212	350
ENSSSCG00000002716	220	230	153	298	165	209	110	236	136	201	135	182
ENSSSCG00000002718	6	20	36	76	16	23	43	65	0	0	0	0
ENSSSCG00000002719	10	16	4	17	4	17	2	24	30	16	12	20
ENSSSCG00000002720	0	4	0	11	0	3	18	35	0	1	0	0
ENSSSCG00000002722	335	514	257	561	304	501	233	443	320	392	423	381
ENSSSCG00000002723	1438	1257	896	1563	1188	1385	926	1563	718	835	827	775
ENSSSCG00000002724	250	437	223	412	216	359	277	355	315	230	302	401
ENSSSCG00000002729	492	563	333	371	390	470	394	263	575	442	598	443
ENSSSCG00000002730	0	0	2	0	0	0	0	0	0	0	0	0
ENSSSCG00000002734	11	51	27	112	23	22	48	84	0	2	0	1
ENSSSCG00000002736	1	2	1	3	0	3	0	0	0	0	0	0
ENSSSCG00000002737	132	81	61	79	27	20	13	55	6	8	1	10
ENSSSCG00000002738	21	46	36	30	35	41	17	41	2	7	4	4
ENSSSCG00000002739	89	136	71	160	42	61	60	99	186	125	162	168
ENSSSCG00000002740	1000	1426	807	1622	752	1089	706	1200	1180	1062	988	1193
ENSSSCG00000002741	48	53	54	109	29	47	50	86	48	41	41	49
ENSSSCG00000002743	1228	1480	697	1728	759	1178	647	1091	2061	1836	1718	1739
ENSSSCG00000002746	14	14	21	27	6	36	17	25	24	26	26	39
ENSSSCG00000002747	0	1	1	0	0	2	0	0	0	4	0	1
ENSSSCG00000002748	257	617	299	583	231	586	240	394	416	561	373	451
ENSSSCG00000002749	19	18	0	354	8	10	13	615	22	19	16	22
ENSSSCG00000002752	154	336	261	309	101	241	237	311	178	271	165	220
ENSSSCG00000002753	367	474	632	482	346	605	532	533	181	187	257	219
ENSSSCG00000002754	69	215	198	290	62	191	84	230	42	45	30	36
ENSSSCG00000002755	967	1324	1161	2009	471	1017	1014	1205	1217	1432	954	1466
ENSSSCG00000002759	73	110	70	162	44	158	67	111	72	85	135	78
ENSSSCG00000002761	0	0	2	0	0	0	0	0	0	0	1	2
ENSSSCG00000002762	138	310	142	300	136	246	115	260	117	151	132	159
ENSSSCG00000002763	129	306	190	289	138	313	180	201	221	239	216	274
ENSSSCG00000002764	3	13	6	21	0	7	4	13	0	3	0	5
ENSSSCG00000002767	2	2	0	1	0	0	4	0	1	1	0	1
ENSSSCG00000002768	18	36	43	42	8	15	36	20	26	37	42	87
ENSSSCG00000002769	104	190	120	163	107	197	101	159	202	198	221	205
ENSSSCG00000002771	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002774	1130	1683	1194	1383	999	1928	1103	1437	1123	1050	997	1158
ENSSSCG00000002775	0	1	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002776	1389	1228	624	1243	1089	1085	589	823	2462	2414	2028	2032
ENSSSCG00000002777	0	65	15	106	1	39	45	166	1	5	2	1
ENSSSCG00000002778	0	5	3	6	2	8	6	2	9	0	6	2
ENSSSCG00000002779	0	1	2	0	0	0	0	0	6	11	13	10
ENSSSCG00000002781	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002782	0	0	0	0	0	0	0	0	1	0	0	0
ENSSSCG00000002783	13	16	21	20	16	47	22	11	3	8	4	14
ENSSSCG00000002786	19	51	62	145	15	76	94	153	11	7	10	7
ENSSSCG00000002787	294	393	220	435	166	311	190	270	355	365	335	356
ENSSSCG00000002788	0	1	3	3	2	0	1	9	0	1	0	1
