	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000139	5	17	18	17	9	23	12	23	15	18	24	5
ENSSSCG00000000141	1788	2269	1045	1918	1167	2081	996	1393	1419	1431	1063	1487
ENSSSCG00000000142	147	307	208	221	437	745	317	360	11	44	26	66
ENSSSCG00000000144	51	91	57	81	55	70	66	53	148	154	185	97
ENSSSCG00000000145	602	759	604	1392	452	696	607	1448	1152	1595	1352	1740
ENSSSCG00000000146	129	515	4183	755	150	664	727	1282	56	69	56	133
ENSSSCG00000000148	9	19	21	25	16	19	33	49	92	106	149	116
ENSSSCG00000000151	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000152	54	191	214	281	83	214	219	517	4	39	5	40
ENSSSCG00000000156	326	692	418	390	377	710	445	313	340	436	251	353
ENSSSCG00000000157	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000158	327	485	248	465	281	422	224	347	366	450	410	463
ENSSSCG00000000159	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000160	229	348	184	462	214	406	126	410	76	113	82	97
ENSSSCG00000000161	75	231	66	248	89	199	111	276	146	184	144	180
ENSSSCG00000000162	20	62	63	108	18	53	51	148	2	48	7	34
ENSSSCG00000000164	319	519	458	562	269	510	371	468	926	447	385	490
ENSSSCG00000000167	299	489	330	501	249	433	212	297	149	172	165	208
ENSSSCG00000000169	16	22	19	33	19	22	15	43	20	34	31	17
ENSSSCG00000000171	325	354	288	462	278	323	278	512	124	301	100	228
ENSSSCG00000000174	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000175	94	209	373	331	75	255	308	453	6	36	4	80
ENSSSCG00000000176	407	687	376	795	298	488	426	609	414	427	419	511
ENSSSCG00000000179	0	3	1	4	0	2	0	0	0	4	1	1
ENSSSCG00000000182	16	7	13	31	8	12	10	13	0	4	3	7
ENSSSCG00000000183	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000184	1	1	4	0	5	5	5	0	1	5	2	1
ENSSSCG00000000185	64	119	60	126	63	119	68	58	109	104	114	121
ENSSSCG00000000186	6	21	21	18	5	6	11	15	20	12	4	11
ENSSSCG00000000188	0	0	8	3	1	3	0	1	0	1	0	0
ENSSSCG00000000189	311	385	214	413	188	306	212	305	130	133	116	189
ENSSSCG00000000190	1279	2192	1531	2391	960	1746	1180	2174	4351	3231	4590	4100
ENSSSCG00000000194	82	349	299	654	101	331	609	733	80	75	67	35
ENSSSCG00000000195	2	14	7	45	3	19	32	80	0	0	0	0
ENSSSCG00000000197	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000000198	0	19	6	40	3	25	26	52	0	0	0	0
ENSSSCG00000000199	119	149	168	227	86	174	178	267	62	78	69	80
ENSSSCG00000000202	140	300	138	363	121	224	128	272	279	281	338	222
