sample	condition	type
A1	AC	single-read
A2	AC	single-read
A3	AC	single-read
A4	AC	single-read
B1	B	single-read
B2	B	single-read
B3	B	single-read
B4	B	single-read
C1	AC	single-read
C2	AC	single-read
C3	AC	single-read
C4	AC	single-read
