geneName_human,Avg_norm_NaSn-,Avg_norm_NaSn+,Avg_norm_LuSn+
CD74,2989.407945,3287.188474,2580.630192
CD163,1974.526929,2503.844852,2690.119462
PSAP,1640.536171,1358.349048,1762.271673
HLA-DQB2,604.6988417,728.1578281,660.7771372
HLA-DRA,732.6801529,702.3176465,482.841328
