NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,BvsA_pvalue,BvsA_padj,Avg_norm_nose,Avg_norm_lung,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
100153704,80381,ENSSSCG00000001917,ENSG00000103855,CD276,CD276,H,-1.576976107,0.002844488,0.059888537,165.0600832,30.28857165,267.7189864,152.8769333,269.4326906,192.7392796,182.3595415,71.94423138,36.70513402,146.7038686,26.98022993,2.097042349,58.85731394,33.21970036
100037938,929,ENSSSCG00000014369,ENSG00000170458,CD14,CD14,H,-1.257296384,0.025587523,0.275896769,77.10037235,29.07839549,69.18580547,25.78647068,58.11293326,79.10940579,174.9914792,70.23127349,34.17374547,105.2118654,2.158418395,3.774676228,35.96835852,74.41212881
100523587,57124,ENSSSCG00000029949,ENSG00000174807,CD248,CD248,H,-1.136332144,0.073483128,0.516185423,155.736619,55.29921481,120.3231399,28.54930683,27.73571815,336.5745628,327.8787716,122.4764891,12.65694277,269.6980211,11.87130117,5.871718577,178.2068672,25.24697227
396662,914,ENSSSCG00000006736,ENSG00000116824,CD2,CD2,H,-1.090600959,0.042430404,0.378772316,147.1410234,28.9715949,93.25043346,50.65199599,266.7911936,228.6981004,396.0333478,53.10169459,27.84527408,60.7561476,10.79209197,13.42107103,42.50806007,49.16515653
574058,29126,ENSSSCG00000005211,ENSG00000120217,CD274,CD274,H,-1.03413302,0.482719764,0.901486306,13.64751422,2.701087213,4.512117748,10.1303992,18.49047877,60.41081897,0,0,8.227012798,7.409286293,0,2.935859288,6.539701549,1.328788014
100515419,940,ENSSSCG00000028561,ENSG00000178562,CD28,CD28,H,-1.025502517,0.509970434,0.91451628,15.1627222,2.045112185,0,20.2607984,7.924490899,46.02729064,20.26217128,0,16.4540256,10.37300081,0,4.194084698,0,3.986364043
397455,916,ENSSSCG00000040140,ENSG00000198851,CD3E,CD3E,H,-1.023309118,0.211023967,0.744790421,69.28315798,16.38048255,148.8998857,26.70741607,55.4714363,79.10940579,198.9376817,9.421268396,16.4540256,19.26414436,0,8.807577865,47.41283623,9.301516101
100155929,967,ENSSSCG00000000361,ENSG00000135404,CD63,CD63,H,-0.969974179,0.006414057,0.108527027,313.3748401,108.9693855,293.2876536,105.9087189,268.1119421,238.7665702,882.3254585,119.0505734,51.2606182,548.2871857,12.41090577,18.45397267,204.3656734,200.6469902
100517448,83692,ENSSSCG00000012744,ENSG00000102181,CD99L2,CD99L2,H,-0.922097357,0.302847904,0.818523903,35.41315035,5.441242932,48.12925598,8.288508434,9.245239383,30.20540948,132.6251211,3.42591578,15.82117846,35.56457421,6.475255184,2.516450819,11.44447771,1.328788014
110259657,51293,ENSSSCG00000032833,ENSG00000167775,CD320,CD320,H,-0.863261421,0.726440896,0.961118387,2.830723212,0.524260587,3.008078499,1.841890763,0,0,0,5.13887367,12.65694277,0,0,2.097042349,0,0
