NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,CvsA_log2FoldChange,CvsB_log2FoldChange,BvsA_pvalue,CvsA_pvalue,CvsB_pvalue,BvsA_padj,CvsA_padj,CvsB_padj,Avg_norm_A,Avg_norm_B,Avg_norm_C,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,cell type
100514248,10871,ENSSSCG00000017236,ENSG00000167850,CD300C,CD300C,H,-1.055288255,-0.806757889,0.248530366,0.068397011,0.163258169,0.668081548,1,0.348543775,0.895392701,702.5424138,249.3669814,357.7108152,715.4658358,941.220213,207.9057479,945.5778584,232.8637444,361.3067466,181.0035354,222.2938992,678.6640687,260.8331329,101.9504057,389.3956536,
100623358,124599,ENSSSCG00000017237,ENSG00000178789,CD300LB,CD300LB,H,-0.789893895,-2.258557337,-1.468663442,0.180166214,0.00019317,0.016279316,1,0.001182626,0.053656017,89.06497781,42.44344103,16.82773942,82.7680166,81.22859373,15.05199985,177.2113011,19.17701425,66.46110723,21.54803993,62.58760269,12.40876637,23.32654034,3.998055124,27.57759586,
100511898,974,ENSSSCG00000017283,ENSG00000007312,CD79B,CD79B,H,0.925444151,0.25608909,-0.669355061,0.255459797,0.754405656,0.40919494,1,0.942417619,0.673966202,21.64176714,26.7067523,22.05778873,4.775077881,20.62948412,17.87424982,43.28825675,13.69786732,27.79282666,36.20070709,29.13560815,0,37.11040508,6.996596467,44.12415338,
103158530,968,ENSSSCG00000017956,ENSG00000129226,CD68,CD68,H,1.172929107,0.395019242,-0.777909865,0.000642363,0.250453374,0.023576902,0.135697499,0.480663115,0.073000045,3612.624168,6455.289872,4410.767828,2777.503634,5558.356628,2794.968222,3319.66819,5186.69746,12123.71434,4034.654997,4476.092689,4012.804142,4838.136525,4274.920441,4517.210202,
100514068,100130520,ENSSSCG00000020967,ENSG00000284690,CD300H,CD300H,H,0.266504281,-2.959012078,-3.225516358,0.544439361,2.06E-11,2.76E-13,1,5.69E-10,1.06E-11,2294.404936,2264.169807,298.3329318,2523.62866,3042.848908,1345.272487,2265.869689,1960.164813,4042.043704,1522.153541,1532.317169,247.220807,365.8025644,158.9226912,421.3856648,
100153365,9308,ENSSSCG00000021576,ENSG00000112149,CD83,CD83,H,-0.383968007,-0.902446896,-0.518478889,0.446244386,0.073448367,0.303810389,1,0.186682025,0.546485506,4119.949315,2604.601761,2191.222631,3389.509449,3947.967524,5460.112946,3682.20734,1694.426187,3998.541888,3657.133337,1068.305632,2774.791066,2421.719006,2108.974078,1459.406373,
397067,928,ENSSSCG00000022230,ENSG00000010278,CD9,CD9,H,0.351363889,3.865061133,3.513697244,0.369398689,4.82E-23,2.52E-19,1,7.43E-21,2.19E-17,1594.240698,1425.943337,17300.30306,353.3557632,1912.095309,1079.980989,3031.530731,445.1806879,1392.058101,1288.572788,2577.961773,19336.67609,12799.90886,21017.77579,16046.85148,
100515853,146894,ENSSSCG00000023014,ENSG00000161649,CD300LG,CD300LG,H,0.419395026,-1.178484976,-1.597880002,0.350701783,0.010217581,0.000483784,1,0.036545375,0.002637194,88.61746966,94.8483982,39.39245468,72.42201452,81.22859373,112.8899989,87.92927153,71.22891006,112.3796904,113.7736508,82.01134146,38.18081962,63.61783728,25.98735831,29.78380353,
100627543,10225,ENSSSCG00000023993,ENSG00000153283,CD96,CD96,H,1.199336202,0.886471314,-0.312864888,0.280638885,0.425867308,0.775749318,1,0.700953162,0.962978086,11.15940288,15.426948,16.2323356,1.591692627,18.05079861,4.703749953,20.29137035,6.848933659,29.00121043,25.85764792,0,1.909040981,21.20594576,0.999513781,40.81484188,
396785,909,ENSSSCG00000025644,ENSG00000158477,CD1A,CD1A,H,-2.336440145,-4.556740592,-2.220300448,0.011772612,1.48E-06,0.01963399,0.61382338,1.55E-05,0.062744866,358.6764799,43.28590983,12.35458859,161.5568016,232.0816964,84.66749916,956.3999226,17.80722751,2.416767536,61.19643341,91.72321084,0,14.84416203,6.996596467,27.57759586,
102158693,146722,ENSSSCG00000037541,ENSG00000186074,CD300LF,CD300LF,H,-0.857245232,2.365422856,3.222668088,0.014173002,7.63E-12,1.94E-20,0.660862496,2.31E-10,1.91E-18,384.3357822,169.9653611,1846.029255,387.5771546,419.0363962,169.3349983,561.3945798,124.6505926,261.0108939,112.9117293,181.2882285,1652.274969,2065.459117,1919.06646,1747.316474,
100516043,131450,ENSSSCG00000044512,ENSG00000163606,CD200R1L,CD200R1,H,1.37882005,-3.35292464,-4.731744689,0.163767548,0.004516758,5.32E-05,1,0.018255009,0.000377738,14.29554748,22.04446488,1.378879793,11.9376947,11.60408482,6.585249935,27.05516047,39.03892186,33.8347455,12.06690236,3.237289795,0,0,0,5.515519172,
